Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 ABR,KNN,-1,-1,canberra,13,0.7688888888888888,80,-1,-1,11,74
 ABR,SVM,-1,-1,linear,10,0.5892053973013494,90,0.5,1,-1,89
 ABR,KNN,-1,-1,hamming,12,0.5892053973013494,90,-1,-1,9,89
 ABR,SVM,-1,-1,rbf,23,0.5781487101669196,100,0.5,1,-1,100
 ABR,KNN,-1,-1,hamming,12,0.5781487101669196,100,-1,-1,7,100
 APH,SVM,-1,-1,poly,23,0.6444906444906445,10,100,2,-1,9
 APH,KNN,-1,-1,manhattan,17,0.6871101871101871,10,-1,-1,7,10
 APH,SVM,-1,-1,poly,23,0.4832285115303983,20,0.5,4,-1,14
 APH,KNN,-1,-1,hamming,13,0.4528301886792453,20,-1,-1,11,17
 APH,SVM,-1,-1,poly,23,0.6035940803382663,30,100,3,-1,20
 APH,KNN,-1,-1,chebyshev,14,0.7315010570824524,30,-1,-1,3,27
 APH,SVM,-1,-1,linear,11,0.6961620469083155,40,100,1,-1,40
 APH,KNN,-1,-1,hamming,12,0.5181236673773987,40,-1,-1,9,39
 APH,SVM,-1,-1,linear,21,0.6086021505376344,50,10,1,-1,43
 APH,KNN,-1,-1,manhattan,13,0.7860215053763441,50,-1,-1,3,39
 APH,SVM,-1,-1,linear,21,0.5412147505422994,60,100,1,-1,45
 APH,KNN,-1,-1,braycurtis,15,0.7147505422993492,60,-1,-1,7,46
 APH,SVM,-1,-1,linear,18,0.46061269146608314,70,100,1,-1,58
 APH,KNN,-1,-1,manhattan,10,0.7855579868708972,70,-1,-1,3,45
 APH,SVM,-1,-1,linear,21,0.543046357615894,80,100,1,-1,37
 APH,KNN,-1,-1,hamming,13,0.5496688741721855,80,-1,-1,3,54
 APH,SVM,-1,-1,poly,23,0.6069042316258352,90,10,4,-1,70
 APH,KNN,-1,-1,chebyshev,13,0.7338530066815144,90,-1,-1,11,75
 APH,SVM,-1,-1,linear,17,0.5831460674157304,100,100,1,-1,87
 APH,KNN,-1,-1,manhattan,10,0.8056179775280898,100,-1,-1,11,88
 KMT,SVM,-1,-1,poly,23,0.5582120582120582,10,5,1,-1,7
 KMT,KNN,-1,-1,canberra,11,0.5966735966735967,10,-1,-1,7,9
 KMT,SVM,-1,-1,rbf,23,0.5880503144654088,20,1,1,-1,17
 KMT,KNN,-1,-1,hamming,10,0.5083857442348009,20,-1,-1,3,17
 KMT,SVM,-1,-1,rbf,23,0.5940803382663847,30,5,1,-1,21
 KMT,KNN,-1,-1,hamming,23,0.5031712473572939,30,-1,-1,11,23
 KMT,SVM,-1,-1,linear,16,0.5831556503198294,40,100,1,-1,28
 KMT,KNN,-1,-1,hamming,15,0.5149253731343284,40,-1,-1,5,29
 KMT,SVM,-1,-1,linear,22,0.5494623655913978,50,100,1,-1,34
 KMT,KNN,-1,-1,braycurtis,10,0.7419354838709677,50,-1,-1,7,39
 KMT,SVM,-1,-1,linear,21,0.5401301518438177,60,100,1,-1,34
 KMT,KNN,-1,-1,braycurtis,13,0.6334056399132321,60,-1,-1,7,46
 KMT,SVM,-1,-1,linear,20,0.5426695842450766,70,100,1,-1,47
 KMT,KNN,-1,-1,euclidean,13,0.6641137855579868,70,-1,-1,11,59
 KMT,SVM,-1,-1,linear,21,0.5143487858719646,80,100,1,-1,61
 KMT,KNN,-1,-1,euclidean,11,0.6721854304635762,80,-1,-1,5,64
 KMT,SVM,-1,-1,linear,12,0.5679287305122495,90,100,1,-1,53
 KMT,KNN,-1,-1,chebyshev,10,0.6948775055679287,90,-1,-1,7,63
 KMT,SVM,-1,-1,linear,18,0.5134831460674157,100,100,1,-1,62
 KMT,KNN,-1,-1,chebyshev,15,0.597752808988764,100,-1,-1,3,70
 BHP,SVM,-1,-1,linear,17,0.54630593132154,10,100,1,-1,10
 BHP,KNN,-1,-1,hamming,14,0.47346514047866806,10,-1,-1,11,10
 BHP,SVM,-1,-1,linear,21,0.43966421825813223,20,100,1,-1,17
 BHP,KNN,-1,-1,hamming,17,0.5697796432318992,20,-1,-1,9,16
 BHP,SVM,-1,-1,linear,23,0.5195767195767196,30,100,1,-1,20
 BHP,KNN,-1,-1,hamming,14,0.5005291005291005,30,-1,-1,3,23
 BHP,SVM,-1,-1,linear,10,0.655282817502668,40,10,1,-1,40
 BHP,KNN,-1,-1,hamming,14,0.544290288153682,40,-1,-1,11,40
 BHP,SVM,-1,-1,linear,11,0.5705059203444564,50,100,1,-1,50
 BHP,KNN,-1,-1,hamming,10,0.5199138858988159,50,-1,-1,3,50
 BHP,SVM,-1,-1,poly,23,0.5722041259500543,60,100,4,-1,40
 BHP,KNN,-1,-1,canberra,12,0.6340933767643865,60,-1,-1,9,46
 BHP,SVM,-1,-1,linear,16,0.515881708652793,70,100,1,-1,45
 BHP,KNN,-1,-1,hamming,11,0.484118291347207,70,-1,-1,11,52
 BHP,SVM,-1,-1,poly,23,0.569060773480663,80,10,4,-1,42
 BHP,KNN,-1,-1,canberra,10,0.7359116022099448,80,-1,-1,3,51
 BHP,SVM,-1,-1,linear,21,0.496098104793757,90,100,1,-1,57
 BHP,KNN,-1,-1,manhattan,15,0.6142697881828316,90,-1,-1,5,65
 BHP,SVM,-1,-1,linear,20,0.5421822272215973,100,10,1,-1,70
 BHP,KNN,-1,-1,braycurtis,18,0.5703037120359955,100,-1,-1,11,74
