Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
CUZ,RF,10,20,0,10,0.0,10,-1,-1,-1,1.0
 CUZ,KNN,-1,-1,euclidean,10,0.0,10,-1,-1,3,1.0
 CUZ,RF,10,40,0,12,0.0,20,-1,-1,-1,0.45
 CUZ,KNN,-1,-1,hamming,18,0.0,20,-1,-1,7,0.75
 CUZ,RF,30,30,0,10,0.0,30,-1,-1,-1,0.8666666666666667
 CUZ,KNN,-1,-1,euclidean,12,0.0,30,-1,-1,5,0.9
 CUZ,RF,40,40,0,10,0.0,40,-1,-1,-1,0.925
 CUZ,KNN,-1,-1,chebyshev,13,0.0,40,-1,-1,9,0.825
 CUZ,RF,50,10,0,20,0.0,50,-1,-1,-1,0.96
 CUZ,KNN,-1,-1,braycurtis,11,0.0,50,-1,-1,11,0.94
 CUZ,RF,10,40,0,16,0.0,60,-1,-1,-1,0.75
 CUZ,KNN,-1,-1,hamming,11,0.0,60,-1,-1,9,0.75
 CUZ,RF,50,30,0,13,0.0,70,-1,-1,-1,0.8571428571428571
 CUZ,KNN,-1,-1,braycurtis,17,0.0,70,-1,-1,9,0.8142857142857143
 CUZ,RF,10,40,0,13,0.0,80,-1,-1,-1,0.7625
 CUZ,KNN,-1,-1,hamming,11,0.0,80,-1,-1,3,0.925
 CUZ,RF,10,20,0,13,0.0,90,-1,-1,-1,0.6666666666666666
 CUZ,KNN,-1,-1,hamming,10,0.0,90,-1,-1,9,0.7
 CUZ,RF,10,50,0,23,0.0,100,-1,-1,-1,0.74
 CUZ,KNN,-1,-1,hamming,18,0.0,100,-1,-1,3,0.64
 BHP,RF,10,10,0,23,0.0,10,-1,-1,-1,0.3
 BHP,KNN,-1,-1,hamming,10,0.0,10,-1,-1,3,1.0
 BHP,RF,20,40,0,10,0.0,20,-1,-1,-1,0.55
 BHP,KNN,-1,-1,hamming,10,0.0,20,-1,-1,11,0.8
 BHP,RF,10,20,0,12,0.0,30,-1,-1,-1,0.8333333333333334
 BHP,KNN,-1,-1,hamming,11,0.0,30,-1,-1,5,0.7666666666666667
 BHP,RF,30,10,0,10,0.0,40,-1,-1,-1,1.0
 BHP,KNN,-1,-1,chebyshev,10,0.0,40,-1,-1,11,0.95
 BHP,RF,20,10,0,10,0.0,50,-1,-1,-1,0.74
 BHP,KNN,-1,-1,hamming,10,0.0,50,-1,-1,11,1.0
 BHP,RF,50,50,0,10,0.0,60,-1,-1,-1,0.8333333333333334
 BHP,KNN,-1,-1,manhattan,16,0.0,60,-1,-1,5,0.8166666666666667
 BHP,RF,30,40,0,10,0.0,70,-1,-1,-1,0.7142857142857143
 BHP,KNN,-1,-1,hamming,13,0.0,70,-1,-1,7,0.7285714285714285
 BHP,RF,10,40,0,11,0.0,80,-1,-1,-1,0.65
 BHP,KNN,-1,-1,hamming,13,0.0,80,-1,-1,11,0.6375
 BHP,RF,40,50,0,22,0.0,90,-1,-1,-1,0.7333333333333333
 BHP,KNN,-1,-1,chebyshev,18,0.0,90,-1,-1,11,0.7111111111111111
 BHP,RF,40,20,0,12,0.0,100,-1,-1,-1,0.75
 BHP,KNN,-1,-1,canberra,10,0.0,100,-1,-1,9,0.78
 
