Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 HUN,KNN,-1,-1,euclidean,11,0.5266187050359712,20,-1,-1,-1,11
 HUN,RF,30,30,0,-1,0.5516739446870451,30,-1,-1,-1,11
 HUN,SVM,-1,-1,poly,-1,0.5676855895196506,30,5,3,-1,11
 HUN,KNN,-1,-1,chebyshev,11,0.5152838427947598,30,-1,-1,-1,12
 HUN,RF,10,20,0,-1,0.5699558173784978,40,-1,-1,-1,13
 HUN,SVM,-1,-1,linear,-1,0.5846833578792342,40,0.5,1,-1,14
 HUN,KNN,-1,-1,euclidean,11,0.5508100147275405,40,-1,-1,-1,9
 HUN,RF,20,30,0,-1,0.5380029806259314,50,-1,-1,-1,28
 HUN,SVM,-1,-1,linear,-1,0.587183308494784,50,0.5,1,-1,7
 HUN,KNN,-1,-1,euclidean,11,0.5499254843517138,50,-1,-1,-1,22
 HUN,RF,30,20,0,-1,0.5444947209653092,60,-1,-1,-1,35
 HUN,SVM,-1,-1,poly,-1,0.5731523378582202,60,5,1,-1,29
 HUN,KNN,-1,-1,chebyshev,11,0.5294117647058824,60,-1,-1,-1,20
 HUN,RF,20,10,0,-1,0.5587786259541985,70,-1,-1,-1,17
 HUN,SVM,-1,-1,poly,-1,0.5618320610687023,70,0.5,4,-1,15
 HUN,KNN,-1,-1,braycurtis,11,0.5435114503816794,70,-1,-1,-1,29
 HUN,RF,40,50,0,-1,0.5564142194744977,80,-1,-1,-1,31
 HUN,SVM,-1,-1,rbf,-1,0.5533230293663061,80,10,1,-1,29
 HUN,KNN,-1,-1,euclidean,11,0.5486862442040186,80,-1,-1,-1,44
 HUN,RF,30,20,0,-1,0.5492957746478874,90,-1,-1,-1,43
 HUN,SVM,-1,-1,poly,-1,0.5524256651017214,90,10,2,-1,51
 HUN,KNN,-1,-1,braycurtis,11,0.5618153364632238,90,-1,-1,-1,48
 HUN,RF,40,50,0,-1,0.5499207606973059,100,-1,-1,-1,56
 HUN,SVM,-1,-1,rbf,-1,0.5515055467511886,100,100,1,-1,55
 HUN,KNN,-1,-1,chebyshev,11,0.5213946117274167,100,-1,-1,-1,54
 KMT,RF,10,40,0,-1,0.48668032786885246,10,-1,-1,-1,2
 KMT,SVM,-1,-1,linear,-1,0.4979508196721312,10,10,1,-1,2
 KMT,KNN,-1,-1,chebyshev,11,0.45286885245901637,10,-1,-1,-1,3
 KMT,RF,30,40,0,-1,0.53099173553719,20,-1,-1,-1,17
 KMT,SVM,-1,-1,poly,-1,0.5340909090909091,20,10,4,-1,14
 KMT,KNN,-1,-1,euclidean,11,0.503099173553719,20,-1,-1,-1,6
 KMT,RF,20,20,0,-1,0.5447916666666667,30,-1,-1,-1,16
 KMT,SVM,-1,-1,poly,-1,0.54375,30,0.5,4,-1,13
 KMT,KNN,-1,-1,euclidean,11,0.5385416666666667,30,-1,-1,-1,19
 KMT,RF,20,20,0,-1,0.5504201680672269,40,-1,-1,-1,17
 KMT,SVM,-1,-1,linear,-1,0.5735294117647058,40,0.5,1,-1,13
