,Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
70, ABR,RF,50,20,0,10,0.8385772913816689,10,-1,-1,-1,6
71, ABR,RF,40,20,0,10,0.8215767634854771,20,-1,-1,-1,11
72, ABR,RF,50,40,0,13,0.8265734265734266,30,-1,-1,-1,16
73, ABR,RF,40,20,0,10,0.8642149929278642,40,-1,-1,-1,39
74, ABR,RF,30,20,0,11,0.8698140200286123,50,-1,-1,-1,45
75, ABR,RF,30,50,0,16,0.8712011577424024,60,-1,-1,-1,27
76, ABR,RF,30,30,0,11,0.8653001464128843,70,-1,-1,-1,45
77, ABR,RF,50,20,0,11,0.8696296296296296,80,-1,-1,-1,60
78, ABR,RF,10,50,0,10,0.8575712143928036,90,-1,-1,-1,78
79, ABR,RF,30,40,0,17,0.8543247344461306,100,-1,-1,-1,32
80, INXN,RF,20,30,0,14,0.7634961439588689,10,-1,-1,-1,5
81, INXN,RF,40,40,0,12,0.7979002624671916,20,-1,-1,-1,6
82, INXN,RF,50,30,0,10,0.8042895442359249,30,-1,-1,-1,30
83, INXN,RF,40,20,0,21,0.8054794520547945,40,-1,-1,-1,36
84, INXN,RF,30,50,0,20,0.7983193277310925,50,-1,-1,-1,29
85, INXN,RF,20,10,0,10,0.8166189111747851,60,-1,-1,-1,42
86, INXN,RF,20,30,0,10,0.8035190615835777,70,-1,-1,-1,49
87, INXN,RF,40,50,0,10,0.8318318318318318,80,-1,-1,-1,64
88, INXN,RF,50,50,0,10,0.8369230769230769,90,-1,-1,-1,51
89, INXN,RF,50,40,0,10,0.7949526813880127,100,-1,-1,-1,32
90, APH,RF,50,50,0,11,0.7671517671517671,10,-1,-1,-1,5
91, APH,RF,30,40,0,12,0.8270440251572327,20,-1,-1,-1,0
92, APH,RF,20,20,0,10,0.8202959830866807,30,-1,-1,-1,7
93, APH,RF,20,20,0,11,0.8347547974413646,40,-1,-1,-1,40
94, APH,RF,30,50,0,11,0.832258064516129,50,-1,-1,-1,41
95, APH,RF,40,50,0,10,0.8524945770065075,60,-1,-1,-1,27
96, APH,RF,40,20,0,10,0.8599562363238512,70,-1,-1,-1,28
97, APH,RF,40,40,0,10,0.8587196467991169,80,-1,-1,-1,48
98, APH,RF,50,40,0,11,0.8619153674832962,90,-1,-1,-1,69
99, APH,RF,40,40,0,10,0.8561797752808988,100,-1,-1,-1,66
100,LAZ,SVM,-1,-1,poly,19,0.5743740795287187,10,100,4,-1,6
101, LAZ,SVM,-1,-1,rbf,10,0.639344262295082,20,100,1,-1,6
102, LAZ,SVM,-1,-1,poly,16,0.6425339366515838,30,100,2,-1,19
103, LAZ,SVM,-1,-1,poly,16,0.6763358778625954,40,100,4,-1,20
104, LAZ,SVM,-1,-1,poly,16,0.6352395672333848,50,100,4,-1,22
105, LAZ,SVM,-1,-1,rbf,10,0.6275430359937402,60,100,1,-1,22
106, LAZ,SVM,-1,-1,rbf,13,0.6656101426307448,70,100,1,-1,13
107, LAZ,SVM,-1,-1,poly,10,0.6195826645264848,80,100,4,-1,35
108, LAZ,SVM,-1,-1,poly,10,0.6650406504065041,90,100,4,-1,41
109, LAZ,SVM,-1,-1,rbf,15,0.6177924217462932,100,10,1,-1,55
110, IX,SVM,-1,-1,poly,20,0.6027397260273972,10,100,2,-1,2
111, IX,SVM,-1,-1,poly,21,0.6131774707757705,20,100,4,-1,8
112, IX,SVM,-1,-1,rbf,17,0.6666666666666666,30,100,1,-1,1
113, IX,SVM,-1,-1,poly,15,0.6918918918918919,40,100,4,-1,31
114, IX,SVM,-1,-1,poly,11,0.64340239912759,50,100,4,-1,32
115, IX,SVM,-1,-1,poly,16,0.6314631463146315,60,100,4,-1,17
116, IX,SVM,-1,-1,poly,12,0.6182019977802442,70,100,4,-1,35
117, IX,SVM,-1,-1,poly,15,0.6259798432250839,80,100,4,-1,59
118, IX,SVM,-1,-1,rbf,21,0.6067796610169491,90,100,1,-1,49
119, IX,SVM,-1,-1,poly,10,0.6271379703534777,100,100,4,-1,50
120, HUN,SVM,-1,-1,poly,19,0.6342525399129173,10,100,2,-1,5
121, HUN,SVM,-1,-1,poly,22,0.6196769456681351,20,100,2,-1,13
122, HUN,SVM,-1,-1,poly,17,0.6835066864784547,30,100,4,-1,5
123, HUN,SVM,-1,-1,poly,10,0.724812030075188,40,10,4,-1,24
124, HUN,SVM,-1,-1,poly,10,0.6697108066971079,50,100,4,-1,45
125, HUN,SVM,-1,-1,poly,12,0.637904468412943,60,100,4,-1,22
126, HUN,SVM,-1,-1,poly,10,0.6692667706708268,70,100,4,-1,27
127, HUN,SVM,-1,-1,poly,13,0.6793048973143759,80,100,4,-1,46
128, HUN,SVM,-1,-1,poly,11,0.68,90,100,4,-1,44
129, HUN,SVM,-1,-1,poly,12,0.6564019448946515,100,100,4,-1,44
130, KMT,SVM,-1,-1,poly,12,0.5644490644490644,10,100,4,-1,3
131, KMT,SVM,-1,-1,poly,20,0.6572327044025157,20,100,4,-1,10
132, KMT,SVM,-1,-1,poly,11,0.6744186046511628,30,10,4,-1,11
133, KMT,SVM,-1,-1,poly,16,0.7100213219616205,40,100,4,-1,26
134, KMT,SVM,-1,-1,poly,13,0.6397849462365591,50,100,4,-1,27
135, KMT,SVM,-1,-1,poly,11,0.6117136659436009,60,100,4,-1,13
136, KMT,SVM,-1,-1,poly,15,0.6050328227571116,70,100,4,-1,50
137, KMT,SVM,-1,-1,poly,10,0.6832229580573952,80,100,4,-1,40
138, KMT,SVM,-1,-1,poly,12,0.6469933184855234,90,100,4,-1,29
139, KMT,SVM,-1,-1,poly,12,0.6595505617977528,100,100,4,-1,58
140, BHP,SVM,-1,-1,poly,18,0.595213319458897,10,100,3,-1,0
141, BHP,SVM,-1,-1,poly,15,0.6306400839454355,20,100,4,-1,10
142, BHP,SVM,-1,-1,poly,18,0.6677248677248677,30,100,4,-1,4
143, BHP,SVM,-1,-1,poly,15,0.6894343649946638,40,100,4,-1,39
144, BHP,SVM,-1,-1,poly,11,0.6350914962325079,50,100,4,-1,49
145, BHP,SVM,-1,-1,poly,12,0.6221498371335505,60,100,4,-1,40
146, BHP,SVM,-1,-1,poly,12,0.6330777656078861,70,100,4,-1,45
147, BHP,SVM,-1,-1,poly,22,0.6066298342541436,80,100,4,-1,39
148, BHP,SVM,-1,-1,poly,17,0.6309921962095875,90,100,3,-1,41
149, BHP,SVM,-1,-1,poly,13,0.6107986501687289,100,100,4,-1,34
150, CUZ,SVM,-1,-1,poly,10,0.5821205821205822,10,100,4,-1,10
151, CUZ,SVM,-1,-1,rbf,23,0.6362683438155137,20,100,1,-1,11
152, CUZ,SVM,-1,-1,poly,20,0.6701902748414377,30,100,3,-1,20
153, CUZ,SVM,-1,-1,poly,12,0.7057569296375267,40,100,4,-1,29
154, CUZ,SVM,-1,-1,poly,10,0.6376344086021506,50,100,4,-1,41
155, CUZ,SVM,-1,-1,rbf,10,0.6496746203904555,60,100,1,-1,36
156, CUZ,SVM,-1,-1,poly,17,0.6389496717724289,70,100,4,-1,19
157, CUZ,SVM,-1,-1,poly,16,0.6346578366445916,80,100,4,-1,25
158, CUZ,SVM,-1,-1,poly,18,0.6180400890868597,90,100,4,-1,29
159, CUZ,SVM,-1,-1,poly,17,0.6325842696629214,100,100,4,-1,59
