Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
 SJIU,KNN,0,0,-1,-1,-1,20,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,20,-1,-1
 SJIU,ZR,0,0,0,0,nan,20,-1,-1
 SJIU,KNN,0,0,-1,-1,-1,30,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,30,-1,-1
 SJIU,ZR,0,0,0,0,nan,30,-1,-1
 SJIU,KNN,0,0,-1,-1,-1,40,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,40,-1,-1
 SJIU,ZR,0,0,0,0,nan,40,-1,-1
 SJIU,KNN,0,0,-1,-1,-1,50,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,50,-1,-1
 SJIU,ZR,0,0,0,0,nan,50,-1,-1
 SJIU,KNN,0,0,-1,-1,-1,60,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,60,-1,-1
 SJIU,ZR,0,0,0,0,nan,60,-1,-1
 SJIU,KNN,0,0,-1,-1,-1,70,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,70,-1,-1
 SJIU,ZR,0,0,0,0,nan,70,-1,-1
 SJIU,KNN,0,0,-1,-1,-1,80,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,80,-1,-1
 SJIU,ZR,0,0,0,0,nan,80,-1,-1
 SJIU,KNN,0,0,-1,-1,-1,90,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,90,-1,-1
 SJIU,ZR,0,0,0,0,nan,90,-1,-1
 SJIU,KNN,0,0,-1,-1,-1,100,-1,-1
 SJIU,RF,-1,-1,0,-1,-1,-1,-1,-1
 SJIU,SVM,0,0,Linear,-1,-1,100,-1,-1
 SJIU,ZR,0,0,0,0,nan,100,-1,-1
 FRAC,KNN,0,0,braycurtis,all,8.0,10,-1,9
 FRAC,RF,10,30,0,20,6.777777777777778,10,-1,8
 FRAC,SVM,0,0,Linear,10,7.666666666666667,10,0.5,9
 FRAC,ZR,0,0,0,0,7.111111111111111,10,-1,0
 FRAC,KNN,0,0,manhattan,all,12.75,20,-1,12
 FRAC,RF,20,20,0,15,14.25,20,-1,16
 FRAC,SVM,0,0,Linear,10,13.75,20,10,9
 FRAC,ZR,0,0,0,0,13.5,20,-1,11
 FRAC,KNN,0,0,manhattan,all,17.5,30,-1,22
 FRAC,RF,40,10,0,10,14.0,30,-1,24
 FRAC,SVM,0,0,Linear,10,17.5,30,0.5,16
 FRAC,ZR,0,0,0,0,17.5,30,-1,16
 FRAC,KNN,0,0,chebyshev,all,26.0,40,-1,26
 FRAC,RF,10,20,0,10,26.0,40,-1,26
 FRAC,SVM,0,0,Linear,10,20.0,40,100,20
 FRAC,ZR,0,0,0,0,19.0,40,-1,19
 FRAC,KNN,0,0,hamming,all,30.0,50,-1,30
 FRAC,RF,10,20,0,10,28.0,50,-1,28
 FRAC,SVM,0,0,Linear,10,21.0,50,0.5,21
 FRAC,ZR,0,0,0,0,21.0,50,-1,21
 FRAC,KNN,0,0,braycurtis,all,43.0,60,-1,43
 FRAC,RF,20,20,0,24,50.0,60,-1,50
 FRAC,SVM,0,0,Linear,10,33.0,60,5,33
 FRAC,ZR,0,0,0,0,47.0,60,-1,47
 FRAC,KNN,0,0,-1,-1,-1,70,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,70,-1,-1
 FRAC,ZR,0,0,0,0,nan,70,-1,-1
 FRAC,KNN,0,0,-1,-1,-1,80,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,80,-1,-1
 FRAC,ZR,0,0,0,0,nan,80,-1,-1
 FRAC,KNN,0,0,-1,-1,-1,90,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,90,-1,-1
 FRAC,ZR,0,0,0,0,nan,90,-1,-1
 FRAC,KNN,0,0,-1,-1,-1,100,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,100,-1,-1
 FRAC,ZR,0,0,0,0,nan,100,-1,-1
 VSM,KNN,0,0,braycurtis,all,9.8,10,-1,9
 VSM,RF,10,10,0,10,9.9,10,-1,10
 VSM,SVM,0,0,Linear,10,10.0,10,5,10
 VSM,ZR,0,0,0,0,10.0,10,-1,10
 VSM,KNN,0,0,braycurtis,all,13.6,20,-1,20
 VSM,RF,10,20,0,10,14.4,20,-1,20
 VSM,SVM,0,0,Linear,10,14.4,20,0.5,20
 VSM,ZR,0,0,0,0,5.0,20,-1,20
