Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AGN,RF,10,50,20,0.8898203592814371,20,14
AGN,ZR,0,0,0,0,20,9
AGN,RF,10,50,20,0.9380315917375456,30,14
AGN,ZR,0,0,0,0,30,11
AGN,RF,20,10,20,0.9260172626387176,40,26
AGN,ZR,0,0,0,0,40,26
AGN,RF,10,20,20,0.9486858573216521,50,48
AGN,ZR,0,0,0,0,50,48
AGN,RF,20,40,20,0.9593392630241423,60,56
AGN,ZR,0,0,0,0,60,54
AGN,RF,10,10,20,0.9625806451612903,70,64
AGN,ZR,0,0,0,0,70,54
AGN,RF,10,30,20,0.9646133682830931,80,59
AGN,ZR,0,0,0,0,80,54
AGN,RF,10,50,20,0.9507323568575233,90,63
AGN,ZR,0,0,0,0,90,62
AGN,RF,10,20,20,0.9607577807848444,100,77
AGN,ZR,0,0,0,0,100,62
AFL,RF,10,10,20,0.7863046044864227,10,9
AFL,ZR,0,0,0,0,10,4
AFL,RF,10,10,20,0.8538922155688623,20,20
AFL,ZR,0,0,0,0,20,0
AFL,RF,10,40,20,0.8979343863912516,30,30
AFL,ZR,0,0,0,0,30,0
AFL,RF,10,20,20,0.9099876695437731,40,15
AFL,ZR,0,0,0,0,40,11
AFL,RF,10,10,20,0.899874843554443,50,30
AFL,ZR,0,0,0,0,50,30
AFL,RF,20,30,20,0.9606099110546379,60,45
AFL,ZR,0,0,0,0,60,45
AFL,RF,10,30,20,0.9470967741935484,70,62
AFL,ZR,0,0,0,0,70,58
AFL,RF,10,40,20,0.9397116644823067,80,73
AFL,ZR,0,0,0,0,80,73
AFL,RF,10,20,20,0.948069241011984,90,88
AFL,ZR,0,0,0,0,90,88
AFL,RF,20,20,20,0.9621109607577808,100,98
AFL,ZR,0,0,0,0,100,98
APY,RF,0,0,20,0,10,error
APY,ZR,0,0,0,0,10,error
APY,RF,0,0,20,0,20,error
APY,ZR,0,0,0,0,20,error
APY,RF,0,0,20,0,30,error
APY,ZR,0,0,0,0,30,error
APY,RF,0,0,20,0,40,error
APY,ZR,0,0,0,0,40,error
APY,RF,0,0,20,0,50,error
APY,ZR,0,0,0,0,50,error
APY,RF,0,0,20,0,60,error
APY,ZR,0,0,0,0,60,error
APY,RF,0,0,20,0,70,error
APY,ZR,0,0,0,0,70,error
APY,RF,0,0,20,0,80,error
APY,ZR,0,0,0,0,80,error
AQ,RF,0,0,20,0,10,error
AQ,ZR,0,0,0,0,10,error
AQ,RF,0,0,20,0,20,error
AQ,ZR,0,0,0,0,20,error
AQ,RF,0,0,20,0,30,error
AQ,ZR,0,0,0,0,30,error
AQ,RF,0,0,20,0,40,error
AQ,ZR,0,0,0,0,40,error
AQ,RF,0,0,20,0,50,error
AQ,ZR,0,0,0,0,50,error
AQ,RF,0,0,20,0,60,error
AQ,ZR,0,0,0,0,60,error
AQ,RF,0,0,20,0,70,error
AQ,ZR,0,0,0,0,70,error
AQ,RF,0,0,20,0,80,error
AQ,ZR,0,0,0,0,80,error
AQ,RF,0,0,20,0,90,error
AQ,ZR,0,0,0,0,90,error
AQ,RF,0,0,20,0,100,error
AQ,ZR,0,0,0,0,100,error
ANET,RF,20,30,20,0.8679245283018868,10,10
ANET,ZR,0,0,0,0,10,9
ANET,RF,10,10,20,0.8723404255319149,20,17
ANET,ZR,0,0,0,0,20,4
ANET,RF,10,20,20,0.9146341463414634,30,21
ANET,ZR,0,0,0,0,30,3
ANET,RF,20,10,20,0.9,40,25
ANET,ZR,0,0,0,0,40,27
ANET,RF,30,20,20,0.9482758620689655,50,38
ANET,ZR,0,0,0,0,50,38
ANET,RF,30,10,20,0.9565217391304348,60,46
ANET,ZR,0,0,0,0,60,57
ANET,RF,10,10,20,0.9705882352941176,70,70
ANET,ZR,0,0,0,0,70,70
ANET,RF,10,20,20,1.0,80,79
ANET,ZR,0,0,0,0,80,17
ANET,RF,10,10,20,1.0,90,39
ANET,ZR,0,0,0,0,90,39
ANET,RF,0,0,20,0,100,error
ANET,ZR,0,0,0,0,100,error
ALK,RF,30,40,20,0.859504132231405,10,9
ALK,ZR,0,0,0,0,10,6
ALK,RF,10,20,20,0.8838323353293414,20,16
ALK,ZR,0,0,0,0,20,3
ALK,RF,10,20,20,0.9222357229647631,30,18
ALK,ZR,0,0,0,0,30,10
ALK,RF,10,10,20,0.9149198520345253,40,29
ALK,ZR,0,0,0,0,40,23
ALK,RF,10,20,20,0.9424280350438048,50,40
ALK,ZR,0,0,0,0,50,36
ALK,RF,10,10,20,0.9047013977128335,60,48
ALK,ZR,0,0,0,0,60,48
ALK,RF,40,50,20,0.9509677419354838,70,58
ALK,ZR,0,0,0,0,70,51
ALK,RF,10,20,20,0.9357798165137615,80,66
ALK,ZR,0,0,0,0,80,48
ALK,RF,20,50,20,0.952063914780293,90,69
ALK,ZR,0,0,0,0,90,55
ALK,RF,10,50,20,0.9661705006765899,100,69
ALK,ZR,0,0,0,0,100,51
AQNB,RF,0,0,20,0,10,error
AQNB,ZR,0,0,0,0,10,error
AMP,RF,10,30,20,0.8676470588235294,10,8
AMP,ZR,0,0,0,0,10,8
AMP,RF,30,30,20,0.9135338345864662,20,18
AMP,ZR,0,0,0,0,20,3
AMP,RF,50,30,20,0.926923076923077,30,29
AMP,ZR,0,0,0,0,30,1
AMP,RF,10,30,20,0.9507874015748031,40,15
AMP,ZR,0,0,0,0,40,11
AMP,RF,10,10,20,0.9516129032258065,50,22
AMP,ZR,0,0,0,0,50,22
AMP,RF,10,20,20,0.9380165289256198,60,31
AMP,ZR,0,0,0,0,60,31
AMP,RF,20,50,20,0.9449152542372882,70,54
AMP,ZR,0,0,0,0,70,43
AMP,RF,20,50,20,0.95,80,65
AMP,ZR,0,0,0,0,80,55
AMP,RF,10,10,20,0.9441964285714286,90,68
AMP,ZR,0,0,0,0,90,68
AMP,RF,10,30,20,0.9747706422018348,100,86
AMP,ZR,0,0,0,0,100,86
AON,RF,10,10,20,0.7894736842105263,10,9
AON,ZR,0,0,0,0,10,10
