Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AFL,RF,10,50,20,0.853448275862069,10,8
AFL,ZR,0,0,0,0,10,8
AFL,RF,20,20,20,0.835820895522388,20,16
AFL,ZR,0,0,0,0,20,8
AFL,RF,10,50,20,0.8253768844221105,30,22
AFL,ZR,0,0,0,0,30,23
AFL,RF,20,50,20,0.8604060913705583,40,10
AFL,ZR,0,0,0,0,40,8
AFL,RF,10,20,20,0.8192307692307692,50,40
AFL,ZR,0,0,0,0,50,40
AFL,RF,10,50,20,0.8406735751295337,60,33
AFL,ZR,0,0,0,0,60,32
AKR,RF,10,10,20,0.7955665024630542,10,9
AKR,ZR,0,0,0,0,10,9
AKR,RF,10,30,20,0.8072139303482587,20,16
AKR,ZR,0,0,0,0,20,16
AKR,RF,30,10,20,0.8316582914572864,30,19
AKR,ZR,0,0,0,0,30,12
AKR,RF,10,40,20,0.8362944162436549,40,26
AKR,ZR,0,0,0,0,40,12
AKR,RF,30,40,20,0.8653846153846154,50,36
AKR,ZR,0,0,0,0,50,25
AKR,RF,30,10,20,0.844559585492228,60,41
AKR,ZR,0,0,0,0,60,14
ABR,RF,10,10,20,0.7855917667238422,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,10,20,0.8104347826086956,20,12
ABR,ZR,0,0,0,0,20,0
ABR,RF,20,30,20,0.8306878306878307,30,22
ABR,ZR,0,0,0,0,30,6
ABR,RF,40,10,20,0.8318425760286225,40,39
ABR,ZR,0,0,0,0,40,40
ABR,RF,20,40,20,0.8421052631578947,50,38
ABR,ZR,0,0,0,0,50,33
ABR,RF,10,10,20,0.8250460405156538,60,27
ABR,ZR,0,0,0,0,60,27
ABR,RF,10,10,20,0.8411214953271028,70,46
ABR,ZR,0,0,0,0,70,46
ABR,RF,20,40,20,0.8652751423149905,80,67
ABR,ZR,0,0,0,0,80,61
ABR,RF,10,20,20,0.8535645472061657,90,76
ABR,ZR,0,0,0,0,90,89
AHT,RF,10,10,20,0.6921824104234527,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,20,20,0.7755775577557755,20,19
AHT,ZR,0,0,0,0,20,1
AHT,RF,10,30,20,0.7976588628762542,30,23
AHT,ZR,0,0,0,0,30,21
AHT,RF,20,40,20,0.8186440677966101,40,34
AHT,ZR,0,0,0,0,40,30
AHT,RF,10,40,20,0.8470790378006873,50,22
AHT,ZR,0,0,0,0,50,35
AHT,RF,20,10,20,0.7961672473867596,60,49
AHT,ZR,0,0,0,0,60,11
AHT,RF,50,40,20,0.8692579505300353,70,65
AHT,ZR,0,0,0,0,70,7
AHT,RF,40,20,20,0.8315412186379928,80,53
AHT,ZR,0,0,0,0,80,19
AGN,RF,10,10,20,0.7623152709359606,10,10
AGN,ZR,0,0,0,0,10,10
AGN,RF,10,40,20,0.7699004975124378,20,8
AGN,ZR,0,0,0,0,20,6
AGN,RF,10,10,20,0.8065326633165829,30,8
AGN,ZR,0,0,0,0,30,4
AGN,RF,10,30,20,0.8692893401015228,40,25
AGN,ZR,0,0,0,0,40,25
AGN,RF,10,30,20,0.8858974358974359,50,23
AGN,ZR,0,0,0,0,50,23
AGN,RF,30,20,20,0.9080310880829016,60,47
AGN,ZR,0,0,0,0,60,6
AEM,RF,30,20,20,0.7118226600985221,10,10
AEM,ZR,0,0,0,0,10,7
AEM,RF,10,10,20,0.7388059701492538,20,20
AEM,ZR,0,0,0,0,20,20
AEM,RF,30,30,20,0.8128140703517588,30,25
AEM,ZR,0,0,0,0,30,12
AEM,RF,20,30,20,0.8261421319796954,40,29
AEM,ZR,0,0,0,0,40,27
AEM,RF,50,20,20,0.85,50,33
AEM,ZR,0,0,0,0,50,45
AEM,RF,40,40,20,0.8186528497409327,60,37
AEM,ZR,0,0,0,0,60,40
ABR,RF,10,10,20,0.7855917667238422,10,6
ABR,ZR,0,0,0,0,10,6
ABR,RF,10,10,20,0.8104347826086956,20,12
ABR,ZR,0,0,0,0,20,0
ABR,RF,20,30,20,0.8306878306878307,30,22
ABR,ZR,0,0,0,0,30,6
ABR,RF,40,10,20,0.8318425760286225,40,39
ABR,ZR,0,0,0,0,40,40
ABR,RF,20,40,20,0.8421052631578947,50,38
ABR,ZR,0,0,0,0,50,33
ABR,RF,10,10,20,0.8250460405156538,60,27
ABR,ZR,0,0,0,0,60,27
ABR,RF,10,10,20,0.8411214953271028,70,46
ABR,ZR,0,0,0,0,70,46
ABR,RF,20,40,20,0.8652751423149905,80,67
ABR,ZR,0,0,0,0,80,61
ABR,RF,10,20,20,0.8535645472061657,90,76
ABR,ZR,0,0,0,0,90,89
ABR,RF,30,50,20,0.8336594911937377,100,90
ABR,ZR,0,0,0,0,100,100
AFL,RF,10,50,20,0.853448275862069,10,8
AFL,ZR,0,0,0,0,10,8
AFL,RF,20,20,20,0.835820895522388,20,16
AFL,ZR,0,0,0,0,20,8
AFL,RF,10,50,20,0.8253768844221105,30,22
AFL,ZR,0,0,0,0,30,23
AFL,RF,20,50,20,0.8604060913705583,40,10
AFL,ZR,0,0,0,0,40,8
AFL,RF,10,20,20,0.8192307692307692,50,40
AFL,ZR,0,0,0,0,50,40
AFL,RF,10,50,20,0.8406735751295337,60,33
AFL,ZR,0,0,0,0,60,32
AFL,RF,40,20,20,0.8586387434554974,70,66
AFL,ZR,0,0,0,0,70,11
AHT,RF,10,10,20,0.6921824104234527,10,1
AHT,ZR,0,0,0,0,10,9
AHT,RF,10,20,20,0.7755775577557755,20,19
AHT,ZR,0,0,0,0,20,1
AHT,RF,10,30,20,0.7976588628762542,30,23
AHT,ZR,0,0,0,0,30,21
AHT,RF,20,40,20,0.8186440677966101,40,34
AHT,ZR,0,0,0,0,40,30
AHT,RF,10,40,20,0.8470790378006873,50,22
AHT,ZR,0,0,0,0,50,35
