Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
 VSM,ZR,0,0,0,0,34.0,50,-1,-1
 VSM,SVM,0,0,Linear,10,40.0,60,0.5,-1
 VSM,ZR,0,0,0,0,23.0,60,-1,-1
 VSM,SVM,0,0,Linear,10,52.0,70,0.5,-1
 VSM,ZR,0,0,0,0,20.0,70,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,80,-1,-1
 VSM,ZR,0,0,0,0,nan,80,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,90,-1,-1
 VSM,ZR,0,0,0,0,nan,90,-1,-1
 VSM,SVM,0,0,Linear,-1,-1,100,-1,-1
 VSM,ZR,0,0,0,0,nan,100,-1,-1
 CWEN,SVM,0,0,Linear,10,6.1,10,0.5,-1
 CWEN,ZR,0,0,0,0,7.1,10,-1,-1
 CWEN,SVM,0,0,Linear,15,13.875,20,0.5,-1
 CWEN,ZR,0,0,0,0,7.875,20,-1,-1
 CWEN,SVM,0,0,Linear,10,20.6,30,0.5,-1
 CWEN,ZR,0,0,0,0,10.0,30,-1,-1
 CWEN,SVM,0,0,Linear,20,31.5,40,1,-1
 CWEN,ZR,0,0,0,0,11.5,40,-1,-1
 CWEN,SVM,0,0,Linear,10,22.666666666666668,50,0.5,-1
 CWEN,ZR,0,0,0,0,13.0,50,-1,-1
 CWEN,SVM,0,0,Linear,10,36.0,60,100,-1
 CWEN,ZR,0,0,0,0,16.5,60,-1,-1
 CWEN,SVM,0,0,Linear,10,39.5,70,1,-1
 CWEN,ZR,0,0,0,0,38.5,70,-1,-1
 CWEN,SVM,0,0,Linear,10,49.0,80,0.5,-1
 CWEN,ZR,0,0,0,0,49.0,80,-1,-1
 CWEN,SVM,0,0,Linear,10,86.0,90,0.5,-1
 CWEN,ZR,0,0,0,0,87.0,90,-1,-1
 CWEN,SVM,0,0,Linear,20,93.0,100,100,-1
 CWEN,ZR,0,0,0,0,97.0,100,-1,-1
 AVNS,SVM,0,0,Linear,10,4.2,10,100,-1
 AVNS,ZR,0,0,0,0,3.2,10,-1,-1
 AVNS,SVM,0,0,Linear,20,12.0,20,10,-1
 AVNS,ZR,0,0,0,0,6.0,20,-1,-1
 AVNS,SVM,0,0,Linear,10,21.0,30,100,-1
 AVNS,ZR,0,0,0,0,10.333333333333334,30,-1,-1
 AVNS,SVM,0,0,Linear,10,34.0,40,10,-1
 AVNS,ZR,0,0,0,0,13.75,40,-1,-1
 AVNS,SVM,0,0,Linear,10,29.666666666666668,50,10,-1
 AVNS,ZR,0,0,0,0,19.0,50,-1,-1
 AVNS,SVM,0,0,Linear,10,40.333333333333336,60,5,-1
 AVNS,ZR,0,0,0,0,26.333333333333332,60,-1,-1
 AVNS,SVM,0,0,Linear,10,33.5,70,10,-1
 AVNS,ZR,0,0,0,0,33.0,70,-1,-1
 AVNS,SVM,0,0,Linear,20,34.0,80,0.5,-1
 AVNS,ZR,0,0,0,0,52.0,80,-1,-1
 AVNS,SVM,0,0,Linear,15,44.0,90,100,-1
 AVNS,ZR,0,0,0,0,73.0,90,-1,-1
 AVNS,SVM,0,0,Linear,10,41.0,100,1,-1
 AVNS,ZR,0,0,0,0,75.0,100,-1,-1
 SMLP,SVM,0,0,Linear,20,4.6,10,0.5,-1
 SMLP,ZR,0,0,0,0,2.6,10,-1,-1
 SMLP,SVM,0,0,Linear,10,14.1,20,100,-1
 SMLP,ZR,0,0,0,0,5.5,20,-1,-1
 SMLP,SVM,0,0,Linear,15,19.5,30,0.5,-1
 SMLP,ZR,0,0,0,0,10.5,30,-1,-1
 SMLP,SVM,0,0,Linear,15,27.571428571428573,40,1,-1
 SMLP,ZR,0,0,0,0,14.714285714285714,40,-1,-1
 SMLP,SVM,0,0,Linear,15,30.8,50,5,-1
 SMLP,ZR,0,0,0,0,20.8,50,-1,-1
 SMLP,SVM,0,0,Linear,10,36.75,60,0.5,-1
 SMLP,ZR,0,0,0,0,20.75,60,-1,-1
 SMLP,SVM,0,0,Linear,10,43.0,70,1,-1
 SMLP,ZR,0,0,0,0,26.0,70,-1,-1
 SMLP,SVM,0,0,Linear,15,47.0,80,5,-1
 SMLP,ZR,0,0,0,0,34.0,80,-1,-1
 SMLP,SVM,0,0,Linear,15,49.0,90,100,-1
 SMLP,ZR,0,0,0,0,41.5,90,-1,-1
