Stock,Algorithm,Estimators,Depth,Distance_function,Model_Score,No_of_features,Future_day,C,degree,No_of_neighbors,Our_test_score
ABR,RF,10,10,0,0.821173104434907,11,50,-1.0,0.0,-1.0,50.0
INXN,RF,10,20,0,0.8707692307692307,10,90,-1.0,0.0,-1.0,52.0
APH,RF,10,10,0,0.8017057569296375,10,40,-1.0,0.0,-1.0,40.0
CUZ,RF,10,10,0,0.7739872068230277,21,40,-1.0,0.0,-1.0,36.0
BHP,RF,50,10,0,0.7609391675560299,10,40,-1.0,0.0,-1.0,40.0
KMT,RF,10,20,0,0.8251599147121536,12,40,-1.0,0.0,-1.0,30.0
INXN,RF,30,20,0,0.8864353312302842,12,100,-1.0,0.0,-1.0,64.0
HUN,RF,10,40,0,0.8320493066255779,16,60,-1.0,0.0,-1.0,39.0
ABR,RF,10,10,0,0.8277858176555717,13,60,-1.0,0.0,-1.0,29.0
APH,RF,10,10,0,0.8182795698924731,16,50,-1.0,0.0,-1.0,48.0
CUZ,RF,10,40,0,0.8462365591397849,12,50,-1.0,0.0,-1.0,50.0
HUN,RF,10,50,0,0.8377535101404057,19,70,-1.0,0.0,-1.0,37.0
BHP,RF,40,10,0,0.7567276641550054,23,50,-1.0,0.0,-1.0,41.0
ABR,RF,10,10,0,0.8169838945827232,10,70,-1.0,0.0,-1.0,46.0
KMT,RF,50,10,0,0.7935483870967742,21,50,-1.0,0.0,-1.0,42.0
HUN,RF,10,50,0,0.8230647709320695,13,80,-1.0,0.0,-1.0,54.0
ABR,RF,10,10,0,0.8281481481481482,10,80,-1.0,0.0,-1.0,61.0
APH,RF,20,30,0,0.8449023861171366,17,60,-1.0,0.0,-1.0,42.0
CUZ,RF,10,30,0,0.8470715835140998,13,60,-1.0,0.0,-1.0,46.0
BHP,RF,50,40,0,0.8121606948968513,15,60,-1.0,0.0,-1.0,50.0
KMT,RF,30,30,0,0.8655097613882863,13,60,-1.0,0.0,-1.0,49.0
HUN,RF,20,30,0,0.8448,18,90,-1.0,0.0,-1.0,54.0
ABR,RF,40,50,0,0.8425787106446777,11,90,-1.0,0.0,-1.0,90.0
CUZ,RF,30,40,0,0.8522975929978118,24,70,-1.0,0.0,-1.0,65.0
APH,RF,10,50,0,0.850109409190372,20,70,-1.0,0.0,-1.0,57.0
HUN,RF,10,30,0,0.8395461912479741,11,100,-1.0,0.0,-1.0,63.0
BHP,RF,40,30,0,0.8258488499452354,16,70,-1.0,0.0,-1.0,48.0
KMT,RF,30,20,0,0.8566739606126915,14,70,-1.0,0.0,-1.0,61.0
ABR,RF,10,10,0,0.8118361153262519,24,100,-1.0,0.0,-1.0,70.0
CUZ,RF,10,10,0,0.8289183222958058,16,80,-1.0,0.0,-1.0,66.0
APH,RF,10,40,0,0.8609271523178808,18,80,-1.0,0.0,-1.0,68.0
BHP,RF,10,20,0,0.8209944751381215,10,80,-1.0,0.0,-1.0,50.0
KMT,RF,30,10,0,0.8222958057395143,10,80,-1.0,0.0,-1.0,63.0
CUZ,RF,40,40,0,0.8819599109131403,13,90,-1.0,0.0,-1.0,79.0
APH,RF,20,20,0,0.8841870824053452,22,90,-1.0,0.0,-1.0,84.0
BHP,RF,10,50,0,0.7848383500557413,12,90,-1.0,0.0,-1.0,65.0
KMT,RF,10,50,0,0.8307349665924276,12,90,-1.0,0.0,-1.0,62.0
CUZ,RF,10,10,0,0.8112359550561797,13,100,-1.0,0.0,-1.0,93.0
APH,RF,10,40,0,0.8449438202247191,12,100,-1.0,0.0,-1.0,87.0
BHP,RF,10,10,0,0.7941507311586051,11,100,-1.0,0.0,-1.0,74.0
KMT,RF,20,30,0,0.8786516853932584,10,100,-1.0,0.0,-1.0,74.0
LAZ,RF,10,20,0,0.6804123711340206,16,10,-1.0,0.0,-1.0,8.0
IX,RF,10,30,0,0.7228661749209695,11,10,-1.0,0.0,-1.0,8.0
LAZ,RF,10,10,0,0.7153502235469449,21,20,-1.0,0.0,-1.0,13.0
IX,RF,10,30,0,0.7332624867162593,18,20,-1.0,0.0,-1.0,12.0
LAZ,RF,10,10,0,0.7677224736048266,10,30,-1.0,0.0,-1.0,26.0
LAZ,RF,50,50,0,0.7923664122137405,19,40,-1.0,0.0,-1.0,28.0
IX,RF,10,50,0,0.7920685959271169,14,30,-1.0,0.0,-1.0,19.0
LAZ,RF,30,50,0,0.8222565687789799,11,50,-1.0,0.0,-1.0,36.0
IX,RF,10,10,0,0.76,18,40,-1.0,0.0,-1.0,31.0
LAZ,RF,10,40,0,0.7934272300469484,20,60,-1.0,0.0,-1.0,31.0
LAZ,RF,10,40,0,0.8335974643423137,11,70,-1.0,0.0,-1.0,17.0
IX,RF,10,20,0,0.8178844056706652,10,50,-1.0,0.0,-1.0,42.0
LAZ,RF,10,40,0,0.8426966292134831,10,80,-1.0,0.0,-1.0,65.0
IX,RF,10,10,0,0.7887788778877888,10,60,-1.0,0.0,-1.0,34.0
LAZ,RF,40,50,0,0.8422764227642277,10,90,-1.0,0.0,-1.0,63.0
LAZ,RF,10,20,0,0.7990115321252059,15,100,-1.0,0.0,-1.0,61.0
IX,RF,10,10,0,0.7269700332963374,15,70,-1.0,0.0,-1.0,48.0
IX,RF,10,10,0,0.7849944008958567,16,80,-1.0,0.0,-1.0,45.0
IX,RF,10,10,0,0.7593220338983051,10,90,-1.0,0.0,-1.0,62.0
IX,RF,10,10,0,0.758266818700114,20,100,-1.0,0.0,-1.0,63.0
CWEN,SVM,-1,-1,linear,10,0.6358381502890174,10,1,-1,-1,4
 CWEN,KNN,-1,-1,chebyshev,17,0.5028901734104047,10,-1,-1,7,7
 CWEN,ZR,-1,-1,0,0,0.49710982658959535,10,-1,-1,-1,1
 CWEN,SVM,-1,-1,linear,10,0.5333333333333333,20,1,-1,-1,13
 CWEN,KNN,-1,-1,euclidean,10,0.7757575757575758,20,-1,-1,3,19
 CWEN,ZR,-1,-1,0,0,0.503030303030303,20,-1,-1,-1,15
 CWEN,SVM,-1,-1,linear,10,0.6624203821656051,30,5,-1,-1,15
 CWEN,KNN,-1,-1,canberra,11,0.6751592356687898,30,-1,-1,3,24
 CWEN,ZR,-1,-1,0,0,0.6305732484076433,30,-1,-1,-1,15
 CWEN,SVM,-1,-1,linear,10,0.5570469798657718,40,1,-1,-1,25
 CWEN,KNN,-1,-1,braycurtis,13,0.7114093959731543,40,-1,-1,5,31
 CWEN,ZR,-1,-1,0,0,0.5704697986577181,40,-1,-1,-1,25
 CWEN,SVM,-1,-1,linear,10,0.6666666666666666,50,10,-1,-1,29
 CWEN,KNN,-1,-1,manhattan,14,0.6028368794326241,50,-1,-1,9,35
 CWEN,ZR,-1,-1,0,0,0.6099290780141844,50,-1,-1,-1,20
 CWEN,SVM,-1,-1,linear,10,0.6390977443609023,60,1,-1,-1,17
 CWEN,KNN,-1,-1,chebyshev,11,0.6240601503759399,60,-1,-1,3,50
 CWEN,ZR,-1,-1,0,0,0.6165413533834586,60,-1,-1,-1,10
 CWEN,SVM,-1,-1,linear,10,0.592,70,100,-1,-1,37
 CWEN,KNN,-1,-1,chebyshev,11,0.664,70,-1,-1,9,53
 CWEN,ZR,-1,-1,0,0,0.632,70,-1,-1,-1,17
 CWEN,SVM,-1,-1,linear,10,0.5641025641025641,80,0.5,-1,-1,43
 CWEN,KNN,-1,-1,euclidean,11,0.6752136752136753,80,-1,-1,3,68
 CWEN,ZR,-1,-1,0,0,0.5641025641025641,80,-1,-1,-1,51
 CWEN,SVM,-1,-1,linear,10,0.6238532110091743,90,10,-1,-1,72
 CWEN,KNN,-1,-1,braycurtis,20,0.5229357798165137,90,-1,-1,11,74
 CWEN,ZR,-1,-1,0,0,0.5688073394495413,90,-1,-1,-1,73
 CWEN,SVM,-1,-1,linear,10,0.5742574257425742,100,0.5,-1,-1,31
 CWEN,KNN,-1,-1,chebyshev,11,0.7425742574257426,100,-1,-1,5,73
 CWEN,ZR,-1,-1,0,0,0.5841584158415841,100,-1,-1,-1,73
 INXN,SVM,-1,-1,linear,10,0.6118251928020566,10,0.5,-1,-1,5
 INXN,KNN,-1,-1,euclidean,19,0.5861182519280206,10,-1,-1,3,7
 INXN,ZR,-1,-1,0,0,0.38046272493573263,10,-1,-1,-1,3
 INXN,SVM,-1,-1,linear,10,0.5669291338582677,20,1,-1,-1,11
 INXN,KNN,-1,-1,braycurtis,19,0.5669291338582677,20,-1,-1,3,14
 INXN,ZR,-1,-1,0,0,0.5249343832020997,20,-1,-1,-1,10
 INXN,SVM,-1,-1,linear,10,0.6568364611260054,30,0.5,-1,-1,29
 INXN,KNN,-1,-1,canberra,10,0.7667560321715817,30,-1,-1,7,30
 INXN,ZR,-1,-1,0,0,0.5737265415549598,30,-1,-1,-1,30
 INXN,SVM,-1,-1,linear,10,0.6520547945205479,40,1,-1,-1,36
 INXN,KNN,-1,-1,chebyshev,11,0.7534246575342466,40,-1,-1,7,36
 INXN,ZR,-1,-1,0,0,0.5753424657534246,40,-1,-1,-1,36
 INXN,SVM,-1,-1,linear,10,0.6274509803921569,50,5,-1,-1,32
 INXN,KNN,-1,-1,canberra,13,0.6834733893557423,50,-1,-1,3,46
 INXN,ZR,-1,-1,0,0,0.5966386554621849,50,-1,-1,-1,32
 INXN,SVM,-1,-1,linear,10,0.6103151862464183,60,0.5,-1,-1,18
 INXN,KNN,-1,-1,chebyshev,15,0.7163323782234957,60,-1,-1,5,42
 INXN,ZR,-1,-1,0,0,0.6131805157593123,60,-1,-1,-1,18
 INXN,SVM,-1,-1,linear,10,0.6070381231671554,70,5,-1,-1,40
 INXN,KNN,-1,-1,hamming,17,0.6099706744868035,70,-1,-1,7,45
 INXN,ZR,-1,-1,0,0,0.592375366568915,70,-1,-1,-1,40
 INXN,SVM,-1,-1,linear,10,0.6456456456456456,80,0.5,-1,-1,56
 INXN,KNN,-1,-1,euclidean,11,0.7597597597597597,80,-1,-1,5,66
 INXN,ZR,-1,-1,0,0,0.6186186186186187,80,-1,-1,-1,56
 INXN,SVM,-1,-1,linear,10,0.6184615384615385,90,1,-1,-1,52
 INXN,KNN,-1,-1,hamming,18,0.5353846153846153,90,-1,-1,11,60
 INXN,ZR,-1,-1,0,0,0.6030769230769231,90,-1,-1,-1,51
 INXN,SVM,-1,-1,linear,10,0.5930599369085173,100,0.5,-1,-1,58
 INXN,KNN,-1,-1,hamming,19,0.5962145110410094,100,-1,-1,9,70
 INXN,ZR,-1,-1,0,0,0.6466876971608833,100,-1,-1,-1,54
 HUN,SVM,-1,-1,linear,10,0.6066763425253991,10,5,-1,-1,7
 HUN,KNN,-1,-1,canberra,11,0.6458635703918723,10,-1,-1,3,9
 HUN,ZR,-1,-1,0,0,0.3483309143686502,10,-1,-1,-1,3
 HUN,SVM,-1,-1,linear,10,0.5477239353891337,20,0.5,-1,-1,10
 HUN,KNN,-1,-1,hamming,23,0.48604992657856094,20,-1,-1,7,17
 HUN,ZR,-1,-1,0,0,0.4581497797356828,20,-1,-1,-1,14
 HUN,SVM,-1,-1,linear,10,0.6270430906389302,30,100,-1,-1,21
 HUN,KNN,-1,-1,braycurtis,10,0.7860326894502229,30,-1,-1,3,23
 HUN,ZR,-1,-1,0,0,0.48588410104011887,30,-1,-1,-1,8
 HUN,SVM,-1,-1,linear,10,0.675187969924812,40,100,-1,-1,25
 HUN,KNN,-1,-1,manhattan,14,0.7518796992481203,40,-1,-1,7,35
 HUN,ZR,-1,-1,0,0,0.5233082706766917,40,-1,-1,-1,19
 HUN,SVM,-1,-1,linear,10,0.5616438356164384,50,100,-1,-1,11
 HUN,KNN,-1,-1,manhattan,15,0.6986301369863014,50,-1,-1,11,45
 HUN,ZR,-1,-1,0,0,0.4977168949771689,50,-1,-1,-1,40
 HUN,SVM,-1,-1,linear,10,0.5469953775038521,60,5,-1,-1,25
 HUN,KNN,-1,-1,chebyshev,22,0.5254237288135594,60,-1,-1,11,48
 HUN,ZR,-1,-1,0,0,0.5053929121725732,60,-1,-1,-1,17
 HUN,SVM,-1,-1,linear,10,0.5819032761310452,70,100,-1,-1,9
 HUN,KNN,-1,-1,chebyshev,21,0.6146645865834633,70,-1,-1,5,63
 HUN,ZR,-1,-1,0,0,0.5101404056162246,70,-1,-1,-1,8
 HUN,SVM,-1,-1,linear,10,0.5892575039494471,80,5,-1,-1,28
 HUN,KNN,-1,-1,hamming,23,0.5071090047393365,80,-1,-1,11,59
 HUN,ZR,-1,-1,0,0,0.5150078988941548,80,-1,-1,-1,28
 HUN,SVM,-1,-1,linear,10,0.6128,90,100,-1,-1,44
 HUN,KNN,-1,-1,canberra,14,0.768,90,-1,-1,3,61
 HUN,ZR,-1,-1,0,0,0.52,90,-1,-1,-1,45
 HUN,SVM,-1,-1,linear,10,0.6126418152350082,100,100,-1,-1,50
 HUN,KNN,-1,-1,chebyshev,11,0.7423014586709886,100,-1,-1,7,72
 HUN,ZR,-1,-1,0,0,0.5040518638573744,100,-1,-1,-1,40
 ABR,SVM,-1,-1,linear,10,0.6826265389876881,10,10,-1,-1,6
 ABR,KNN,-1,-1,euclidean,13,0.7222982216142271,10,-1,-1,3,7
 ABR,ZR,-1,-1,0,0,0.5143638850889193,10,-1,-1,-1,6
 ABR,SVM,-1,-1,linear,10,0.5864453665283541,20,1,-1,-1,15
 ABR,KNN,-1,-1,canberra,16,0.6417704011065007,20,-1,-1,7,19
 ABR,ZR,-1,-1,0,0,0.4135546334716459,20,-1,-1,-1,0
 ABR,SVM,-1,-1,linear,10,0.5636363636363636,30,100,-1,-1,14
 ABR,KNN,-1,-1,canberra,12,0.7342657342657343,30,-1,-1,7,24
 ABR,ZR,-1,-1,0,0,0.4965034965034965,30,-1,-1,-1,7
 ABR,SVM,-1,-1,linear,10,0.637906647807638,40,10,-1,-1,40
 ABR,KNN,-1,-1,manhattan,10,0.8274398868458275,40,-1,-1,7,40
 ABR,ZR,-1,-1,0,0,0.5148514851485149,40,-1,-1,-1,40
 ABR,SVM,-1,-1,linear,10,0.597997138769671,50,0.5,-1,-1,33
 ABR,KNN,-1,-1,manhattan,10,0.8311874105865522,50,-1,-1,7,49
 ABR,ZR,-1,-1,0,0,0.5450643776824035,50,-1,-1,-1,33
 ABR,SVM,-1,-1,linear,10,0.5947901591895803,60,100,-1,-1,27
 ABR,KNN,-1,-1,chebyshev,15,0.6917510853835022,60,-1,-1,11,45
 ABR,ZR,-1,-1,0,0,0.5672937771345875,60,-1,-1,-1,27
 ABR,SVM,-1,-1,linear,10,0.5783308931185944,70,0.5,-1,-1,45
 ABR,KNN,-1,-1,chebyshev,19,0.6910688140556369,70,-1,-1,3,49
 ABR,ZR,-1,-1,0,0,0.5622254758418741,70,-1,-1,-1,45
 ABR,SVM,-1,-1,linear,10,0.5777777777777777,80,100,-1,-1,61
 ABR,KNN,-1,-1,canberra,22,0.6918518518518518,80,-1,-1,3,73
 ABR,ZR,-1,-1,0,0,0.5837037037037037,80,-1,-1,-1,60
 ABR,SVM,-1,-1,linear,10,0.5817091454272864,90,100,-1,-1,86
 ABR,KNN,-1,-1,chebyshev,13,0.7526236881559221,90,-1,-1,9,89
 ABR,ZR,-1,-1,0,0,0.5757121439280359,90,-1,-1,-1,89
 ABR,SVM,-1,-1,linear,10,0.5599393019726859,100,0.5,-1,-1,97
 ABR,KNN,-1,-1,chebyshev,14,0.7389984825493171,100,-1,-1,9,100
 ABR,ZR,-1,-1,0,0,0.5644916540212443,100,-1,-1,-1,100
 CUZ,SVM,-1,-1,linear,10,0.5831600831600832,10,100,-1,-1,10
 CUZ,KNN,-1,-1,euclidean,12,0.6632016632016632,10,-1,-1,3,10
 CUZ,ZR,-1,-1,0,0,0.3804573804573805,10,-1,-1,-1,0
 CUZ,SVM,-1,-1,linear,10,0.5870020964360587,20,10,-1,-1,6
 CUZ,KNN,-1,-1,hamming,20,0.5262054507337526,20,-1,-1,3,15
 CUZ,ZR,-1,-1,0,0,0.510482180293501,20,-1,-1,-1,14
 CUZ,SVM,-1,-1,linear,10,0.6194503171247357,30,0.5,-1,-1,18
 CUZ,KNN,-1,-1,chebyshev,11,0.6638477801268499,30,-1,-1,11,27
 CUZ,ZR,-1,-1,0,0,0.5412262156448203,30,-1,-1,-1,5
 CUZ,SVM,-1,-1,linear,10,0.673773987206823,40,100,-1,-1,27
 CUZ,KNN,-1,-1,chebyshev,20,0.6215351812366737,40,-1,-1,5,31
 CUZ,ZR,-1,-1,0,0,0.5874200426439232,40,-1,-1,-1,29
 CUZ,SVM,-1,-1,linear,10,0.5591397849462365,50,10,-1,-1,36
 CUZ,KNN,-1,-1,braycurtis,10,0.7376344086021506,50,-1,-1,9,46
 CUZ,ZR,-1,-1,0,0,0.5806451612903226,50,-1,-1,-1,32
 CUZ,SVM,-1,-1,linear,10,0.5921908893709328,60,5,-1,-1,19
 CUZ,KNN,-1,-1,chebyshev,12,0.6713665943600867,60,-1,-1,11,47
 CUZ,ZR,-1,-1,0,0,0.5986984815618221,60,-1,-1,-1,14
 CUZ,SVM,-1,-1,linear,10,0.6061269146608315,70,5,-1,-1,25
 CUZ,KNN,-1,-1,chebyshev,11,0.7647702407002188,70,-1,-1,3,59
 CUZ,ZR,-1,-1,0,0,0.6017505470459519,70,-1,-1,-1,11
 CUZ,SVM,-1,-1,linear,10,0.5971302428256071,80,0.5,-1,-1,31
 CUZ,KNN,-1,-1,chebyshev,11,0.7019867549668874,80,-1,-1,3,78
 CUZ,ZR,-1,-1,0,0,0.5905077262693157,80,-1,-1,-1,2
 CUZ,SVM,-1,-1,linear,10,0.5757238307349666,90,1,-1,-1,30
 CUZ,KNN,-1,-1,hamming,11,0.534521158129176,90,-1,-1,7,62
 CUZ,ZR,-1,-1,0,0,0.6035634743875279,90,-1,-1,-1,29
 CUZ,SVM,-1,-1,linear,10,0.5988764044943821,100,0.5,-1,-1,61
 CUZ,KNN,-1,-1,hamming,13,0.5303370786516854,100,-1,-1,11,60
 CUZ,ZR,-1,-1,0,0,0.6089887640449438,100,-1,-1,-1,58
 KMT,SVM,-1,-1,linear,10,0.5634095634095634,10,0.5,-1,-1,7
 KMT,KNN,-1,-1,canberra,12,0.6340956340956341,10,-1,-1,5,9
 KMT,ZR,-1,-1,0,0,0.4095634095634096,10,-1,-1,-1,3
 KMT,SVM,-1,-1,linear,10,0.6142557651991615,20,10,-1,-1,9
 KMT,KNN,-1,-1,chebyshev,15,0.7389937106918238,20,-1,-1,3,17
 KMT,ZR,-1,-1,0,0,0.5073375262054507,20,-1,-1,-1,17
 KMT,SVM,-1,-1,linear,10,0.6173361522198731,30,1,-1,-1,19
 KMT,KNN,-1,-1,manhattan,21,0.5961945031712473,30,-1,-1,9,21
 KMT,ZR,-1,-1,0,0,0.5317124735729387,30,-1,-1,-1,11
 KMT,SVM,-1,-1,linear,10,0.6684434968017058,40,100,-1,-1,25
 KMT,KNN,-1,-1,chebyshev,12,0.7611940298507462,40,-1,-1,5,27
 KMT,ZR,-1,-1,0,0,0.5628997867803838,40,-1,-1,-1,13
 KMT,SVM,-1,-1,linear,10,0.589247311827957,50,0.5,-1,-1,29
 KMT,KNN,-1,-1,canberra,19,0.6129032258064516,50,-1,-1,9,38
 KMT,ZR,-1,-1,0,0,0.567741935483871,50,-1,-1,-1,26
 KMT,SVM,-1,-1,linear,10,0.5683297180043384,60,1,-1,-1,21
 KMT,KNN,-1,-1,manhattan,16,0.7505422993492408,60,-1,-1,3,43
 KMT,ZR,-1,-1,0,0,0.5553145336225597,60,-1,-1,-1,21
 KMT,SVM,-1,-1,linear,10,0.5568927789934355,70,1,-1,-1,43
 KMT,KNN,-1,-1,canberra,15,0.6630196936542669,70,-1,-1,5,55
 KMT,ZR,-1,-1,0,0,0.5459518599562363,70,-1,-1,-1,38
 KMT,SVM,-1,-1,linear,10,0.5231788079470199,80,1,-1,-1,56
 KMT,KNN,-1,-1,euclidean,12,0.67439293598234,80,-1,-1,5,64
 KMT,ZR,-1,-1,0,0,0.5518763796909493,80,-1,-1,-1,57
 KMT,SVM,-1,-1,linear,10,0.5501113585746102,90,5,-1,-1,49
 KMT,KNN,-1,-1,euclidean,14,0.6648106904231625,90,-1,-1,7,58
 KMT,ZR,-1,-1,0,0,0.5590200445434298,90,-1,-1,-1,50
 KMT,SVM,-1,-1,linear,10,0.5808988764044943,100,5,-1,-1,55
 KMT,KNN,-1,-1,braycurtis,14,0.6325842696629214,100,-1,-1,9,72
 KMT,ZR,-1,-1,0,0,0.5651685393258427,100,-1,-1,-1,34
 BHP,SVM,-1,-1,linear,10,0.5619146722164412,10,100,-1,-1,9
 BHP,KNN,-1,-1,chebyshev,15,0.5962539021852237,10,-1,-1,5,10
 BHP,ZR,-1,-1,0,0,0.3975026014568158,10,-1,-1,-1,0
 BHP,SVM,-1,-1,linear,10,0.5876180482686254,20,1,-1,-1,3
 BHP,KNN,-1,-1,chebyshev,12,0.6631689401888772,20,-1,-1,3,19
 BHP,ZR,-1,-1,0,0,0.5183630640083945,20,-1,-1,-1,19
 BHP,SVM,-1,-1,linear,10,0.6402116402116402,30,10,-1,-1,10
 BHP,KNN,-1,-1,chebyshev,17,0.6084656084656085,30,-1,-1,11,23
 BHP,ZR,-1,-1,0,0,0.5396825396825397,30,-1,-1,-1,8
 BHP,SVM,-1,-1,linear,10,0.6488794023479189,40,10,-1,-1,36
 BHP,KNN,-1,-1,chebyshev,12,0.7556029882604055,40,-1,-1,3,40
 BHP,ZR,-1,-1,0,0,0.5336179295624333,40,-1,-1,-1,40
 BHP,SVM,-1,-1,linear,10,0.5575888051668461,50,1,-1,-1,50
 BHP,KNN,-1,-1,chebyshev,12,0.7330462863293864,50,-1,-1,3,50
 BHP,ZR,-1,-1,0,0,0.5231431646932185,50,-1,-1,-1,50
 BHP,SVM,-1,-1,linear,10,0.5515743756786102,60,5,-1,-1,35
 BHP,KNN,-1,-1,manhattan,16,0.6655808903365906,60,-1,-1,5,46
 BHP,ZR,-1,-1,0,0,0.5179153094462541,60,-1,-1,-1,29
 BHP,SVM,-1,-1,linear,10,0.5323110624315444,70,1,-1,-1,39
 BHP,KNN,-1,-1,hamming,12,0.48630887185104055,70,-1,-1,11,52
 BHP,ZR,-1,-1,0,0,0.5312157721796276,70,-1,-1,-1,22
 BHP,SVM,-1,-1,linear,10,0.56353591160221,80,100,-1,-1,36
 BHP,KNN,-1,-1,canberra,11,0.6828729281767956,80,-1,-1,11,54
 BHP,ZR,-1,-1,0,0,0.5337016574585636,80,-1,-1,-1,37
 BHP,SVM,-1,-1,linear,10,0.5496098104793757,90,1,-1,-1,50
 BHP,KNN,-1,-1,braycurtis,18,0.5462653288740246,90,-1,-1,11,64
 BHP,ZR,-1,-1,0,0,0.5239687848383501,90,-1,-1,-1,50
 BHP,SVM,-1,-1,linear,10,0.5388076490438695,100,5,-1,-1,59
 BHP,KNN,-1,-1,hamming,10,0.5084364454443194,100,-1,-1,7,77
 BHP,ZR,-1,-1,0,0,0.5298087739032621,100,-1,-1,-1,69
 APH,SVM,-1,-1,linear,10,0.6403326403326404,10,100,-1,-1,10
 APH,KNN,-1,-1,euclidean,16,0.683991683991684,10,-1,-1,7,10
 APH,ZR,-1,-1,0,0,0.4303534303534304,10,-1,-1,-1,1
 APH,SVM,-1,-1,linear,10,0.6142557651991615,20,5,-1,-1,7
 APH,KNN,-1,-1,chebyshev,13,0.6928721174004193,20,-1,-1,3,17
 APH,ZR,-1,-1,0,0,0.45178197064989517,20,-1,-1,-1,17
 APH,SVM,-1,-1,linear,10,0.6131078224101479,30,1,-1,-1,9
 APH,KNN,-1,-1,chebyshev,12,0.6997885835095138,30,-1,-1,11,26
 APH,ZR,-1,-1,0,0,0.5454545454545454,30,-1,-1,-1,7
 APH,SVM,-1,-1,linear,10,0.6780383795309168,40,10,-1,-1,40
 APH,KNN,-1,-1,chebyshev,13,0.7697228144989339,40,-1,-1,3,40
 APH,ZR,-1,-1,0,0,0.570362473347548,40,-1,-1,-1,40
 APH,SVM,-1,-1,linear,10,0.6225806451612903,50,100,-1,-1,28
 APH,KNN,-1,-1,braycurtis,11,0.7698924731182796,50,-1,-1,5,45
 APH,ZR,-1,-1,0,0,0.5741935483870968,50,-1,-1,-1,31
 APH,SVM,-1,-1,linear,10,0.6290672451193059,60,1,-1,-1,26
