Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 ABR,KNN,-1,-1,manhattan,16.0,0.7414500683994528,10,-1.0,-1.0,3.0,7.0
 ABR,SVM,-1,-1,rbf,23.0,0.598893499308437,20,100.0,1.0,-1.0,17.0
 ABR,KNN,-1,-1,manhattan,13.0,0.7593360995850622,20,-1.0,-1.0,5.0,18.0
 ABR,SVM,-1,-1,linear,22.0,0.4909090909090909,30,100.0,1.0,-1.0,17.0
 ABR,KNN,-1,-1,canberra,11.0,0.7258741258741259,30,-1.0,-1.0,11.0,23.0
 ABR,SVM,-1,-1,linear,14.0,0.6506364922206507,40,100.0,1.0,-1.0,40.0
 ABR,KNN,-1,-1,braycurtis,11.0,0.8288543140028288,40,-1.0,-1.0,7.0,40.0
 ABR,SVM,-1,-1,linear,20.0,0.5050071530758226,50,100.0,1.0,-1.0,42.0
 ABR,KNN,-1,-1,manhattan,11.0,0.7510729613733905,50,-1.0,-1.0,9.0,50.0
 ABR,SVM,-1,-1,linear,18.0,0.5904486251808972,60,100.0,1.0,-1.0,34.0
 ABR,KNN,-1,-1,hamming,10.0,0.507959479015919,60,-1.0,-1.0,11.0,44.0
 ABR,SVM,-1,-1,rbf,23.0,0.6076134699853587,70,5.0,1.0,-1.0,45.0
 ABR,KNN,-1,-1,canberra,16.0,0.7013177159590044,70,-1.0,-1.0,11.0,47.0
 ABR,SVM,-1,-1,linear,17.0,0.6014814814814815,80,100.0,1.0,-1.0,70.0
 ABR,KNN,-1,-1,canberra,13.0,0.7688888888888888,80,-1.0,-1.0,11.0,74.0
 ABR,SVM,-1,-1,linear,10.0,0.5892053973013494,90,0.5,1.0,-1.0,89.0
 ABR,KNN,-1,-1,hamming,12.0,0.5892053973013494,90,-1.0,-1.0,9.0,89.0
 ABR,SVM,-1,-1,rbf,23.0,0.5781487101669196,100,0.5,1.0,-1.0,100.0
 ABR,KNN,-1,-1,hamming,12.0,0.5781487101669196,100,-1.0,-1.0,7.0,100.0
 APH,SVM,-1,-1,poly,23.0,0.6444906444906445,10,100.0,2.0,-1.0,9.0
 APH,KNN,-1,-1,manhattan,17.0,0.6871101871101871,10,-1.0,-1.0,7.0,10.0
 APH,SVM,-1,-1,poly,23.0,0.4832285115303983,20,0.5,4.0,-1.0,14.0
 APH,KNN,-1,-1,hamming,13.0,0.4528301886792453,20,-1.0,-1.0,11.0,17.0
 APH,SVM,-1,-1,poly,23.0,0.6035940803382663,30,100.0,3.0,-1.0,20.0
 APH,KNN,-1,-1,chebyshev,14.0,0.7315010570824524,30,-1.0,-1.0,3.0,27.0
 APH,SVM,-1,-1,linear,11.0,0.6961620469083155,40,100.0,1.0,-1.0,40.0
 APH,KNN,-1,-1,hamming,12.0,0.5181236673773987,40,-1.0,-1.0,9.0,39.0
 APH,SVM,-1,-1,linear,21.0,0.6086021505376344,50,10.0,1.0,-1.0,43.0
 APH,KNN,-1,-1,manhattan,13.0,0.7860215053763441,50,-1.0,-1.0,3.0,39.0
