Stock,Algorithm,Estimators,Depth,Distance_function,Model_Score,No_of_features,Future_day,C,degree,No_of_neighbors,Our_test_score
ABR,RF,10,10,0,0.821173104434907,11,50,-1.0,0.0,-1.0,50.0
INXN,RF,10,20,0,0.8707692307692307,10,90,-1.0,0.0,-1.0,52.0
APH,RF,10,10,0,0.8017057569296375,10,40,-1.0,0.0,-1.0,40.0
CUZ,RF,10,10,0,0.7739872068230277,21,40,-1.0,0.0,-1.0,36.0
BHP,RF,50,10,0,0.7609391675560299,10,40,-1.0,0.0,-1.0,40.0
KMT,RF,10,20,0,0.8251599147121536,12,40,-1.0,0.0,-1.0,30.0
INXN,RF,30,20,0,0.8864353312302842,12,100,-1.0,0.0,-1.0,64.0
HUN,RF,10,40,0,0.8320493066255779,16,60,-1.0,0.0,-1.0,39.0
ABR,RF,10,10,0,0.8277858176555717,13,60,-1.0,0.0,-1.0,29.0
APH,RF,10,10,0,0.8182795698924731,16,50,-1.0,0.0,-1.0,48.0
CUZ,RF,10,40,0,0.8462365591397849,12,50,-1.0,0.0,-1.0,50.0
HUN,RF,10,50,0,0.8377535101404057,19,70,-1.0,0.0,-1.0,37.0
BHP,RF,40,10,0,0.7567276641550054,23,50,-1.0,0.0,-1.0,41.0
ABR,RF,10,10,0,0.8169838945827232,10,70,-1.0,0.0,-1.0,46.0
KMT,RF,50,10,0,0.7935483870967742,21,50,-1.0,0.0,-1.0,42.0
HUN,RF,10,50,0,0.8230647709320695,13,80,-1.0,0.0,-1.0,54.0
ABR,RF,10,10,0,0.8281481481481482,10,80,-1.0,0.0,-1.0,61.0
APH,RF,20,30,0,0.8449023861171366,17,60,-1.0,0.0,-1.0,42.0
CUZ,RF,10,30,0,0.8470715835140998,13,60,-1.0,0.0,-1.0,46.0
BHP,RF,50,40,0,0.8121606948968513,15,60,-1.0,0.0,-1.0,50.0
KMT,RF,30,30,0,0.8655097613882863,13,60,-1.0,0.0,-1.0,49.0
HUN,RF,20,30,0,0.8448,18,90,-1.0,0.0,-1.0,54.0
ABR,RF,40,50,0,0.8425787106446777,11,90,-1.0,0.0,-1.0,90.0
CUZ,RF,30,40,0,0.8522975929978118,24,70,-1.0,0.0,-1.0,65.0
APH,RF,10,50,0,0.850109409190372,20,70,-1.0,0.0,-1.0,57.0
HUN,RF,10,30,0,0.8395461912479741,11,100,-1.0,0.0,-1.0,63.0
BHP,RF,40,30,0,0.8258488499452354,16,70,-1.0,0.0,-1.0,48.0
KMT,RF,30,20,0,0.8566739606126915,14,70,-1.0,0.0,-1.0,61.0
ABR,RF,10,10,0,0.8118361153262519,24,100,-1.0,0.0,-1.0,70.0
CUZ,RF,10,10,0,0.8289183222958058,16,80,-1.0,0.0,-1.0,66.0
APH,RF,10,40,0,0.8609271523178808,18,80,-1.0,0.0,-1.0,68.0
BHP,RF,10,20,0,0.8209944751381215,10,80,-1.0,0.0,-1.0,50.0
KMT,RF,30,10,0,0.8222958057395143,10,80,-1.0,0.0,-1.0,63.0
CUZ,RF,40,40,0,0.8819599109131403,13,90,-1.0,0.0,-1.0,79.0
APH,RF,20,20,0,0.8841870824053452,22,90,-1.0,0.0,-1.0,84.0
BHP,RF,10,50,0,0.7848383500557413,12,90,-1.0,0.0,-1.0,65.0
KMT,RF,10,50,0,0.8307349665924276,12,90,-1.0,0.0,-1.0,62.0
CUZ,RF,10,10,0,0.8112359550561797,13,100,-1.0,0.0,-1.0,93.0
APH,RF,10,40,0,0.8449438202247191,12,100,-1.0,0.0,-1.0,87.0
BHP,RF,10,10,0,0.7941507311586051,11,100,-1.0,0.0,-1.0,74.0
KMT,RF,20,30,0,0.8786516853932584,10,100,-1.0,0.0,-1.0,74.0
LAZ,RF,10,20,0,0.6804123711340206,16,10,-1.0,0.0,-1.0,8.0
IX,RF,10,30,0,0.7228661749209695,11,10,-1.0,0.0,-1.0,8.0
LAZ,RF,10,10,0,0.7153502235469449,21,20,-1.0,0.0,-1.0,13.0
IX,RF,10,30,0,0.7332624867162593,18,20,-1.0,0.0,-1.0,12.0
LAZ,RF,10,10,0,0.7677224736048266,10,30,-1.0,0.0,-1.0,26.0
LAZ,RF,50,50,0,0.7923664122137405,19,40,-1.0,0.0,-1.0,28.0
IX,RF,10,50,0,0.7920685959271169,14,30,-1.0,0.0,-1.0,19.0
LAZ,RF,30,50,0,0.8222565687789799,11,50,-1.0,0.0,-1.0,36.0
IX,RF,10,10,0,0.76,18,40,-1.0,0.0,-1.0,31.0
LAZ,RF,10,40,0,0.7934272300469484,20,60,-1.0,0.0,-1.0,31.0
LAZ,RF,10,40,0,0.8335974643423137,11,70,-1.0,0.0,-1.0,17.0
IX,RF,10,20,0,0.8178844056706652,10,50,-1.0,0.0,-1.0,42.0
LAZ,RF,10,40,0,0.8426966292134831,10,80,-1.0,0.0,-1.0,65.0
IX,RF,10,10,0,0.7887788778877888,10,60,-1.0,0.0,-1.0,34.0
LAZ,RF,40,50,0,0.8422764227642277,10,90,-1.0,0.0,-1.0,63.0
LAZ,RF,10,20,0,0.7990115321252059,15,100,-1.0,0.0,-1.0,61.0
IX,RF,10,10,0,0.7269700332963374,15,70,-1.0,0.0,-1.0,48.0
IX,RF,10,10,0,0.7849944008958567,16,80,-1.0,0.0,-1.0,45.0
IX,RF,10,10,0,0.7593220338983051,10,90,-1.0,0.0,-1.0,62.0
IX,RF,10,10,0,0.758266818700114,20,100,-1.0,0.0,-1.0,63.0
