Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 APY,KNN,0,0,error,0,-1,30,-1
 AQ,KNN,0,0,error,0,-1,30,-1
 APY,KNN,0,0,error,0,-1,40,-1
 AQ,KNN,0,0,error,0,-1,40,-1
 APY,KNN,0,0,error,0,-1,50,-1
 AQ,KNN,0,0,error,0,-1,50,-1
 APY,KNN,0,0,error,0,-1,60,-1
 AQ,KNN,0,0,error,0,-1,60,-1
 APY,KNN,0,0,error,0,-1,70,-1
 APY,KNN,0,0,error,0,-1,80,-1
 AQ,KNN,0,0,error,0,-1,70,-1
 APY,KNN,0,0,error,0,-1,90,-1
 AQ,KNN,0,0,error,0,-1,80,-1
 APY,KNN,0,0,error,0,-1,100,-1
 AQ,KNN,0,0,error,0,-1,90,-1
 AQ,KNN,0,0,error,0,-1,100,-1
 ALK,KNN,0,0,manhattan,0,0.6002490660024906,20,12
 ANET,KNN,0,0,chebyshev,0,0.5714285714285714,10,9
 AMP,KNN,0,0,canberra,0,0.6719056974459725,10,7
 AON,KNN,0,0,euclidean,0,0.7422934648581998,10,5
 APH,KNN,0,0,manhattan,0,0.6683107274969173,10,7
 AMG,KNN,0,0,euclidean,0,0.561035758323058,10,9
 ANET,KNN,0,0,hamming,0,0.5161290322580645,20,12
 ALK,KNN,0,0,canberra,0,0.670440251572327,30,16
 AMP,KNN,0,0,canberra,0,0.5848303393213573,20,11
 ANET,KNN,0,0,canberra,0,0.6481481481481481,30,18
 AON,KNN,0,0,braycurtis,0,0.6276463262764632,20,12
 AMG,KNN,0,0,braycurtis,0,0.5579078455790785,20,11
 APH,KNN,0,0,euclidean,0,0.5118306351183064,20,17
 ALK,KNN,0,0,euclidean,0,0.6594663278271918,40,26
 ANET,KNN,0,0,euclidean,0,0.6956521739130435,40,38
 AMP,KNN,0,0,euclidean,0,0.6146044624746451,30,15
 AMG,KNN,0,0,euclidean,0,0.6113207547169811,30,25
 AON,KNN,0,0,canberra,0,0.670440251572327,30,13
 APH,KNN,0,0,hamming,0,0.4679245283018868,30,11
 ANET,KNN,0,0,canberra,0,0.7631578947368421,50,32
 AMP,KNN,0,0,euclidean,0,0.6206185567010309,40,28
 ALK,KNN,0,0,euclidean,0,0.6046213093709885,50,35
 ANET,KNN,0,0,euclidean,0,0.6,60,40
 AMG,KNN,0,0,euclidean,0,0.6188055908513341,40,30
 AON,KNN,0,0,manhattan,0,0.6645489199491741,40,24
 APH,KNN,0,0,euclidean,0,0.6060991105463787,40,40
 AMP,KNN,0,0,euclidean,0,0.6436058700209644,50,32
 ANET,KNN,0,0,braycurtis,0,0.6818181818181818,70,41
 ALK,KNN,0,0,manhattan,0,0.6498054474708171,60,38
 ANET,KNN,0,0,canberra,0,0.7857142857142857,80,47
 AMG,KNN,0,0,euclidean,0,0.6328626444159179,50,27
 AMP,KNN,0,0,euclidean,0,0.6417910447761194,60,47
 AON,KNN,0,0,hamming,0,0.46084724005134786,50,30
 APH,KNN,0,0,canberra,0,0.7060333761232349,50,30
 ALK,KNN,0,0,euclidean,0,0.5779816513761468,70,39
 ANET,KNN,0,0,braycurtis,0,0.8333333333333334,90,45
 ANET,KNN,0,0,error,0,-1,100,-1
