Stock,Algorithm,Estimators,Depth,No_of_features,Model_Score,Future_day,Our_test_score
AGRO,RF,10,30,20,0.961038961038961,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,30,20,0.933920704845815,50,36
AGRO,ZR,0,0,0,0,50,26
AHT,RF,30,20,20,0.86709886547812,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,10,20,0.831973898858075,20,12
AHT,ZR,0,0,0,0,20,12
AGRO,RF,10,50,20,0.8518518518518519,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,50,20,0.9037656903765691,20,19
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,20,20,0.9148936170212766,30,28
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,30,20,0.961038961038961,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,30,20,0.933920704845815,50,36
AGRO,ZR,0,0,0,0,50,26
AGRO,RF,30,20,20,0.9641255605381166,60,37
AGRO,ZR,0,0,0,0,60,34
AKR,RF,50,50,20,0.8590686274509803,10,8
AKR,ZR,0,0,0,0,10,6
AKR,RF,10,20,20,0.9014778325123153,20,17
AKR,ZR,0,0,0,0,20,11
ABR,RF,10,10,20,0.841296928327645,10,10
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,10,20,0.9243986254295533,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,40,10,20,0.9411764705882353,30,24
ABR,ZR,0,0,0,0,30,27
AEM,RF,10,10,20,0.7732843137254902,10,10
AEM,ZR,0,0,0,0,10,8
AEM,RF,50,50,20,0.9125615763546798,20,20
AEM,ZR,0,0,0,0,20,18
AGN,RF,20,40,20,0.8504901960784313,10,7
AGN,ZR,0,0,0,0,10,10
AGN,RF,10,40,20,0.9150246305418719,20,15
AGN,ZR,0,0,0,0,20,9
AGRO,RF,10,50,20,0.8518518518518519,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,50,20,0.9037656903765691,20,19
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,20,20,0.9148936170212766,30,28
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,30,20,0.961038961038961,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,30,20,0.933920704845815,50,36
AGRO,ZR,0,0,0,0,50,26
AGRO,RF,30,20,20,0.9641255605381166,60,37
AGRO,ZR,0,0,0,0,60,34
AGRO,RF,20,40,20,0.9634703196347032,70,53
AGRO,ZR,0,0,0,0,70,49
AFL,RF,20,40,20,0.8725490196078431,10,10
AFL,ZR,0,0,0,0,10,4
AFL,RF,10,10,20,0.8559113300492611,20,20
AFL,ZR,0,0,0,0,20,0
AHT,RF,30,20,20,0.86709886547812,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,10,20,0.831973898858075,20,12
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9293924466338259,30,20
AHT,ZR,0,0,0,0,30,19
AGRO,RF,10,50,20,0.8518518518518519,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,50,20,0.9037656903765691,20,19
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,20,20,0.9148936170212766,30,28
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,30,20,0.961038961038961,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,30,20,0.933920704845815,50,36
AGRO,ZR,0,0,0,0,50,26
AGRO,RF,30,20,20,0.9641255605381166,60,37
AGRO,ZR,0,0,0,0,60,34
AGRO,RF,20,40,20,0.9634703196347032,70,53
AGRO,ZR,0,0,0,0,70,49
AGRO,RF,40,40,20,0.9116279069767442,80,69
AGRO,ZR,0,0,0,0,80,66
AGRO,RF,10,50,20,0.8518518518518519,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,50,20,0.9037656903765691,20,19
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,20,20,0.9148936170212766,30,28
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,30,20,0.961038961038961,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,30,20,0.933920704845815,50,36
AGRO,ZR,0,0,0,0,50,26
AGRO,RF,30,20,20,0.9641255605381166,60,37
AGRO,ZR,0,0,0,0,60,34
AGRO,RF,20,40,20,0.9634703196347032,70,53
AGRO,ZR,0,0,0,0,70,49
AGRO,RF,40,40,20,0.9116279069767442,80,69
AGRO,ZR,0,0,0,0,80,66
AGRO,RF,30,30,20,0.9383886255924171,90,86
AGRO,ZR,0,0,0,0,90,77
ABR,RF,10,10,20,0.841296928327645,10,10
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,10,20,0.9243986254295533,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,40,10,20,0.9411764705882353,30,24
ABR,ZR,0,0,0,0,30,27
ABR,RF,10,20,20,0.9425087108013938,40,39
ABR,ZR,0,0,0,0,40,24
AKR,RF,50,50,20,0.8590686274509803,10,8
AKR,ZR,0,0,0,0,10,6
AKR,RF,10,20,20,0.9014778325123153,20,17
AKR,ZR,0,0,0,0,20,11
AKR,RF,20,10,20,0.8725247524752475,30,21
AKR,ZR,0,0,0,0,30,15
AGRO,RF,10,50,20,0.8518518518518519,10,9
AGRO,ZR,0,0,0,0,10,8
AGRO,RF,10,50,20,0.9037656903765691,20,19
AGRO,ZR,0,0,0,0,20,20
AGRO,RF,10,20,20,0.9148936170212766,30,28
AGRO,ZR,0,0,0,0,30,29
AGRO,RF,10,30,20,0.961038961038961,40,36
AGRO,ZR,0,0,0,0,40,29
AGRO,RF,20,30,20,0.933920704845815,50,36
AGRO,ZR,0,0,0,0,50,26
AGRO,RF,30,20,20,0.9641255605381166,60,37
AGRO,ZR,0,0,0,0,60,34
AGRO,RF,20,40,20,0.9634703196347032,70,53
AGRO,ZR,0,0,0,0,70,49
AGRO,RF,40,40,20,0.9116279069767442,80,69
AGRO,ZR,0,0,0,0,80,66
AGRO,RF,30,30,20,0.9383886255924171,90,86
AGRO,ZR,0,0,0,0,90,77
AGRO,RF,20,40,20,0.9323671497584541,100,94
AGRO,ZR,0,0,0,0,100,94
AHT,RF,30,20,20,0.86709886547812,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,10,20,0.831973898858075,20,12
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9293924466338259,30,20
AHT,ZR,0,0,0,0,30,19
AHT,RF,30,10,20,0.9239669421487603,40,15
AHT,ZR,0,0,0,0,40,8
AEM,RF,10,10,20,0.7732843137254902,10,10
AEM,ZR,0,0,0,0,10,8
AEM,RF,50,50,20,0.9125615763546798,20,20
AEM,ZR,0,0,0,0,20,18
AEM,RF,20,10,20,0.9034653465346535,30,18
AEM,ZR,0,0,0,0,30,30
AGN,RF,20,40,20,0.8504901960784313,10,7
AGN,ZR,0,0,0,0,10,10
AGN,RF,10,40,20,0.9150246305418719,20,15
AGN,ZR,0,0,0,0,20,9
AGN,RF,20,20,20,0.9504950495049505,30,13
AGN,ZR,0,0,0,0,30,11
AFL,RF,20,40,20,0.8725490196078431,10,10
AFL,ZR,0,0,0,0,10,4
AFL,RF,10,10,20,0.8559113300492611,20,20
AFL,ZR,0,0,0,0,20,0
AFL,RF,10,10,20,0.8948019801980198,30,30
AFL,ZR,0,0,0,0,30,0
ABR,RF,10,10,20,0.841296928327645,10,10
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,10,20,0.9243986254295533,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,40,10,20,0.9411764705882353,30,24
ABR,ZR,0,0,0,0,30,27
ABR,RF,10,20,20,0.9425087108013938,40,39
ABR,ZR,0,0,0,0,40,24
ABR,RF,20,20,20,0.956140350877193,50,46
ABR,ZR,0,0,0,0,50,21
AHT,RF,30,20,20,0.86709886547812,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,10,20,0.831973898858075,20,12
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9293924466338259,30,20
AHT,ZR,0,0,0,0,30,19
AHT,RF,30,10,20,0.9239669421487603,40,15
AHT,ZR,0,0,0,0,40,8
AHT,RF,10,50,20,0.961730449251248,50,29
AHT,ZR,0,0,0,0,50,4
AKR,RF,50,50,20,0.8590686274509803,10,8
AKR,ZR,0,0,0,0,10,6
AKR,RF,10,20,20,0.9014778325123153,20,17
AKR,ZR,0,0,0,0,20,11
AKR,RF,20,10,20,0.8725247524752475,30,21
AKR,ZR,0,0,0,0,30,15
AKR,RF,10,50,20,0.9154228855721394,40,31
AKR,ZR,0,0,0,0,40,18
ABR,RF,10,10,20,0.841296928327645,10,10
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,10,20,0.9243986254295533,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,40,10,20,0.9411764705882353,30,24
ABR,ZR,0,0,0,0,30,27
ABR,RF,10,20,20,0.9425087108013938,40,39
ABR,ZR,0,0,0,0,40,24
ABR,RF,20,20,20,0.956140350877193,50,46
ABR,ZR,0,0,0,0,50,21
ABR,RF,10,40,20,0.950530035335689,60,58
ABR,ZR,0,0,0,0,60,14
AEM,RF,10,10,20,0.7732843137254902,10,10
AEM,ZR,0,0,0,0,10,8
AEM,RF,50,50,20,0.9125615763546798,20,20
AEM,ZR,0,0,0,0,20,18
AEM,RF,20,10,20,0.9034653465346535,30,18
AEM,ZR,0,0,0,0,30,30
AEM,RF,10,10,20,0.904228855721393,40,19
AEM,ZR,0,0,0,0,40,40
AGN,RF,20,40,20,0.8504901960784313,10,7
AGN,ZR,0,0,0,0,10,10
AGN,RF,10,40,20,0.9150246305418719,20,15
AGN,ZR,0,0,0,0,20,9
AGN,RF,20,20,20,0.9504950495049505,30,13
AGN,ZR,0,0,0,0,30,11
AGN,RF,10,50,20,0.9402985074626866,40,26
AGN,ZR,0,0,0,0,40,26
AFL,RF,20,40,20,0.8725490196078431,10,10
AFL,ZR,0,0,0,0,10,4
AFL,RF,10,10,20,0.8559113300492611,20,20
AFL,ZR,0,0,0,0,20,0
AFL,RF,10,10,20,0.8948019801980198,30,30
AFL,ZR,0,0,0,0,30,0
AFL,RF,10,30,20,0.9191542288557214,40,12
AFL,ZR,0,0,0,0,40,11
AHT,RF,30,20,20,0.86709886547812,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,10,20,0.831973898858075,20,12
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9293924466338259,30,20
AHT,ZR,0,0,0,0,30,19
AHT,RF,30,10,20,0.9239669421487603,40,15
AHT,ZR,0,0,0,0,40,8
AHT,RF,10,50,20,0.961730449251248,50,29
AHT,ZR,0,0,0,0,50,4
AHT,RF,40,40,20,0.9631490787269682,60,56
AHT,ZR,0,0,0,0,60,0
ABR,RF,10,10,20,0.841296928327645,10,10
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,10,20,0.9243986254295533,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,40,10,20,0.9411764705882353,30,24
ABR,ZR,0,0,0,0,30,27
ABR,RF,10,20,20,0.9425087108013938,40,39
ABR,ZR,0,0,0,0,40,24
ABR,RF,20,20,20,0.956140350877193,50,46
ABR,ZR,0,0,0,0,50,21
ABR,RF,10,40,20,0.950530035335689,60,58
ABR,ZR,0,0,0,0,60,14
ABR,RF,50,20,20,0.9501779359430605,70,67
ABR,ZR,0,0,0,0,70,9
AKR,RF,50,50,20,0.8590686274509803,10,8
AKR,ZR,0,0,0,0,10,6
AKR,RF,10,20,20,0.9014778325123153,20,17
AKR,ZR,0,0,0,0,20,11
AKR,RF,20,10,20,0.8725247524752475,30,21
AKR,ZR,0,0,0,0,30,15
AKR,RF,10,50,20,0.9154228855721394,40,31
AKR,ZR,0,0,0,0,40,18
AKR,RF,10,50,20,0.94375,50,38
AKR,ZR,0,0,0,0,50,14
AEM,RF,10,10,20,0.7732843137254902,10,10
AEM,ZR,0,0,0,0,10,8
AEM,RF,50,50,20,0.9125615763546798,20,20
AEM,ZR,0,0,0,0,20,18
AEM,RF,20,10,20,0.9034653465346535,30,18
AEM,ZR,0,0,0,0,30,30
AEM,RF,10,10,20,0.904228855721393,40,19
AEM,ZR,0,0,0,0,40,40
AEM,RF,10,10,20,0.90375,50,30
AEM,ZR,0,0,0,0,50,50
AGN,RF,20,40,20,0.8504901960784313,10,7
AGN,ZR,0,0,0,0,10,10
AGN,RF,10,40,20,0.9150246305418719,20,15
AGN,ZR,0,0,0,0,20,9
AGN,RF,20,20,20,0.9504950495049505,30,13
AGN,ZR,0,0,0,0,30,11
AGN,RF,10,50,20,0.9402985074626866,40,26
AGN,ZR,0,0,0,0,40,26
AGN,RF,10,10,20,0.92125,50,48
AGN,ZR,0,0,0,0,50,48
AHT,RF,30,20,20,0.86709886547812,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,10,20,0.831973898858075,20,12
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9293924466338259,30,20
AHT,ZR,0,0,0,0,30,19
AHT,RF,30,10,20,0.9239669421487603,40,15
AHT,ZR,0,0,0,0,40,8
AHT,RF,10,50,20,0.961730449251248,50,29
AHT,ZR,0,0,0,0,50,4
AHT,RF,40,40,20,0.9631490787269682,60,56
AHT,ZR,0,0,0,0,60,0
AHT,RF,10,20,20,0.9477234401349073,70,44
AHT,ZR,0,0,0,0,70,0
AFL,RF,20,40,20,0.8725490196078431,10,10
AFL,ZR,0,0,0,0,10,4
AFL,RF,10,10,20,0.8559113300492611,20,20
AFL,ZR,0,0,0,0,20,0
AFL,RF,10,10,20,0.8948019801980198,30,30
AFL,ZR,0,0,0,0,30,0
AFL,RF,10,30,20,0.9191542288557214,40,12
AFL,ZR,0,0,0,0,40,11
AFL,RF,10,10,20,0.9075,50,30
AFL,ZR,0,0,0,0,50,30
ABR,RF,10,10,20,0.841296928327645,10,10
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,10,20,0.9243986254295533,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,40,10,20,0.9411764705882353,30,24
ABR,ZR,0,0,0,0,30,27
ABR,RF,10,20,20,0.9425087108013938,40,39
ABR,ZR,0,0,0,0,40,24
ABR,RF,20,20,20,0.956140350877193,50,46
ABR,ZR,0,0,0,0,50,21
ABR,RF,10,40,20,0.950530035335689,60,58
ABR,ZR,0,0,0,0,60,14
ABR,RF,50,20,20,0.9501779359430605,70,67
ABR,ZR,0,0,0,0,70,9
ABR,RF,10,50,20,0.9713261648745519,80,73
ABR,ZR,0,0,0,0,80,24
AKR,RF,50,50,20,0.8590686274509803,10,8
AKR,ZR,0,0,0,0,10,6
AKR,RF,10,20,20,0.9014778325123153,20,17
AKR,ZR,0,0,0,0,20,11
AKR,RF,20,10,20,0.8725247524752475,30,21
AKR,ZR,0,0,0,0,30,15
AKR,RF,10,50,20,0.9154228855721394,40,31
AKR,ZR,0,0,0,0,40,18
AKR,RF,10,50,20,0.94375,50,38
AKR,ZR,0,0,0,0,50,14
AKR,RF,20,20,20,0.9472361809045227,60,42
AKR,ZR,0,0,0,0,60,27
AHT,RF,30,20,20,0.86709886547812,10,10
AHT,ZR,0,0,0,0,10,5
AHT,RF,10,10,20,0.831973898858075,20,12
AHT,ZR,0,0,0,0,20,12
AHT,RF,10,20,20,0.9293924466338259,30,20
AHT,ZR,0,0,0,0,30,19
AHT,RF,30,10,20,0.9239669421487603,40,15
AHT,ZR,0,0,0,0,40,8
AHT,RF,10,50,20,0.961730449251248,50,29
AHT,ZR,0,0,0,0,50,4
AHT,RF,40,40,20,0.9631490787269682,60,56
AHT,ZR,0,0,0,0,60,0
AHT,RF,10,20,20,0.9477234401349073,70,44
AHT,ZR,0,0,0,0,70,0
AHT,RF,10,40,20,0.9490662139219015,80,29
AHT,ZR,0,0,0,0,80,7
ABR,RF,10,10,20,0.841296928327645,10,10
ABR,ZR,0,0,0,0,10,7
ABR,RF,10,10,20,0.9243986254295533,20,19
ABR,ZR,0,0,0,0,20,19
ABR,RF,40,10,20,0.9411764705882353,30,24
ABR,ZR,0,0,0,0,30,27
ABR,RF,10,20,20,0.9425087108013938,40,39
ABR,ZR,0,0,0,0,40,24
ABR,RF,20,20,20,0.956140350877193,50,46
ABR,ZR,0,0,0,0,50,21
ABR,RF,10,40,20,0.950530035335689,60,58
