Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
LAZ,RF,50,30,0,13,0.7128129602356407,10,-1,-1,-1,4
 LAZ,RF,20,20,0,10,0.7511177347242921,20,-1,-1,-1,13
 LAZ,RF,50,30,0,10,0.7420814479638009,30,-1,-1,-1,22
 LAZ,RF,40,20,0,10,0.7648854961832061,40,-1,-1,-1,21
 LAZ,RF,30,30,0,11,0.7635239567233385,50,-1,-1,-1,25
 LAZ,RF,20,50,0,11,0.7652582159624414,60,-1,-1,-1,22
 LAZ,RF,30,30,0,11,0.7638668779714739,70,-1,-1,-1,15
 LAZ,RF,30,30,0,10,0.7576243980738363,80,-1,-1,-1,46
 LAZ,RF,40,30,0,10,0.775609756097561,90,-1,-1,-1,55
 LAZ,RF,30,20,0,18,0.7726523887973641,100,-1,-1,-1,32
 IX,RF,50,20,0,10,0.743940990516333,10,-1,-1,-1,2
 IX,RF,50,40,0,11,0.7725823591923485,20,-1,-1,-1,6
 IX,RF,30,40,0,11,0.8060021436227224,30,-1,-1,-1,3
 IX,RF,30,40,0,10,0.7913513513513514,40,-1,-1,-1,22
 IX,RF,50,30,0,14,0.8080697928026173,50,-1,-1,-1,40
 IX,RF,50,20,0,10,0.8404840484048405,60,-1,-1,-1,20
 IX,RF,40,30,0,10,0.8190899001109878,70,-1,-1,-1,43
 IX,RF,40,30,0,11,0.8219484882418813,80,-1,-1,-1,24
 IX,RF,50,20,0,11,0.8169491525423729,90,-1,-1,-1,39
 IX,RF,30,40,0,10,0.8152793614595211,100,-1,-1,-1,23
 HUN,RF,40,30,0,10,0.7764876632801161,10,-1,-1,-1,7
 HUN,RF,50,20,0,10,0.8046989720998532,20,-1,-1,-1,11
 HUN,RF,50,30,0,10,0.8395245170876672,30,-1,-1,-1,12
 HUN,RF,30,20,0,12,0.8571428571428571,40,-1,-1,-1,25
 HUN,RF,20,40,0,11,0.84779299847793,50,-1,-1,-1,39
 HUN,RF,50,30,0,10,0.8459167950693375,60,-1,-1,-1,24
 HUN,RF,50,20,0,10,0.8424336973478939,70,-1,-1,-1,16
 HUN,RF,40,20,0,11,0.8672985781990521,80,-1,-1,-1,37
 HUN,RF,30,20,0,10,0.8512,90,-1,-1,-1,44
 HUN,RF,30,50,0,11,0.8508914100486223,100,-1,-1,-1,42
 KMT,RF,40,20,0,11,0.7141372141372141,10,-1,-1,-1,4
 KMT,RF,50,30,0,11,0.8207547169811321,20,-1,-1,-1,7
 KMT,RF,30,20,0,10,0.8192389006342494,30,-1,-1,-1,18
 KMT,RF,20,40,0,10,0.8315565031982942,40,-1,-1,-1,13
 KMT,RF,50,40,0,11,0.8268817204301075,50,-1,-1,-1,30
 KMT,RF,30,50,0,11,0.8351409978308026,60,-1,-1,-1,36
 KMT,RF,30,50,0,10,0.8293216630196937,70,-1,-1,-1,35
 KMT,RF,50,40,0,13,0.8311258278145696,80,-1,-1,-1,44
 KMT,RF,50,20,0,10,0.8285077951002228,90,-1,-1,-1,46
 KMT,RF,50,30,0,22,0.8258426966292135,100,-1,-1,-1,59
 BHP,RF,50,40,0,11,0.7107180020811654,10,-1,-1,-1,0
 BHP,RF,30,50,0,10,0.7775445960125918,20,-1,-1,-1,6
 BHP,RF,40,20,0,10,0.8,30,-1,-1,-1,16
 BHP,RF,40,40,0,10,0.8110992529348986,40,-1,-1,-1,39
 BHP,RF,50,20,0,10,0.8083961248654468,50,-1,-1,-1,21
 BHP,RF,40,30,0,10,0.8023887079261672,60,-1,-1,-1,38
 BHP,RF,20,40,0,10,0.8170865279299014,70,-1,-1,-1,39
 BHP,RF,50,30,0,10,0.8187845303867404,80,-1,-1,-1,33
 BHP,RF,30,50,0,10,0.7937569676700111,90,-1,-1,-1,57
 BHP,RF,30,20,0,10,0.796400449943757,100,-1,-1,-1,66
 CUZ,RF,50,30,0,11,0.7130977130977131,10,-1,-1,-1,9
 CUZ,RF,20,40,0,13,0.7693920335429769,20,-1,-1,-1,5
 CUZ,RF,20,20,0,10,0.7906976744186046,30,-1,-1,-1,25
 CUZ,RF,40,50,0,11,0.8091684434968017,40,-1,-1,-1,20
 CUZ,RF,50,40,0,10,0.8,50,-1,-1,-1,47
 CUZ,RF,30,20,0,10,0.8134490238611713,60,-1,-1,-1,39
 CUZ,RF,50,20,0,11,0.8238512035010941,70,-1,-1,-1,56
 CUZ,RF,40,40,0,11,0.8068432671081678,80,-1,-1,-1,21
 CUZ,RF,40,30,0,17,0.8251670378619154,90,-1,-1,-1,44
 CUZ,RF,50,30,0,16,0.8112359550561797,100,-1,-1,-1,57
 CWEN,RF,40,30,0,14,0.7687861271676301,10,-1,-1,-1,2
 CWEN,RF,40,30,0,11,0.8303030303030303,20,-1,-1,-1,18
 CWEN,RF,50,20,0,10,0.802547770700637,30,-1,-1,-1,19
 CWEN,RF,30,50,0,13,0.7651006711409396,40,-1,-1,-1,26
 CWEN,RF,10,40,0,12,0.8297872340425532,50,-1,-1,-1,29
 CWEN,RF,40,20,0,10,0.849624060150376,60,-1,-1,-1,21
 CWEN,RF,10,40,0,10,0.744,70,-1,-1,-1,44
 CWEN,RF,30,20,0,10,0.7777777777777778,80,-1,-1,-1,17
 CWEN,RF,50,20,0,10,0.7614678899082569,90,-1,-1,-1,32
 CWEN,RF,10,20,0,12,0.801980198019802,100,-1,-1,-1,43
 ABR,RF,50,20,0,10,0.8385772913816689,10,-1,-1,-1,6
 ABR,RF,40,20,0,10,0.8215767634854771,20,-1,-1,-1,11
 ABR,RF,50,40,0,13,0.8265734265734266,30,-1,-1,-1,16
 ABR,RF,40,20,0,10,0.8642149929278642,40,-1,-1,-1,39
 ABR,RF,30,20,0,11,0.8698140200286123,50,-1,-1,-1,45
 ABR,RF,30,50,0,16,0.8712011577424024,60,-1,-1,-1,27
 ABR,RF,30,30,0,11,0.8653001464128843,70,-1,-1,-1,45
 ABR,RF,50,20,0,11,0.8696296296296296,80,-1,-1,-1,60
 ABR,RF,10,50,0,10,0.8575712143928036,90,-1,-1,-1,78
 ABR,RF,30,40,0,17,0.8543247344461306,100,-1,-1,-1,32
 INXN,RF,20,30,0,14,0.7634961439588689,10,-1,-1,-1,5
 INXN,RF,40,40,0,12,0.7979002624671916,20,-1,-1,-1,6
 INXN,RF,50,30,0,10,0.8042895442359249,30,-1,-1,-1,30
 INXN,RF,40,20,0,21,0.8054794520547945,40,-1,-1,-1,36
 INXN,RF,30,50,0,20,0.7983193277310925,50,-1,-1,-1,29
 INXN,RF,20,10,0,10,0.8166189111747851,60,-1,-1,-1,42
 INXN,RF,20,30,0,10,0.8035190615835777,70,-1,-1,-1,49
 INXN,RF,40,50,0,10,0.8318318318318318,80,-1,-1,-1,64
 INXN,RF,50,50,0,10,0.8369230769230769,90,-1,-1,-1,51
 INXN,RF,50,40,0,10,0.7949526813880127,100,-1,-1,-1,32
 APH,RF,50,50,0,11,0.7671517671517671,10,-1,-1,-1,5
 APH,RF,30,40,0,12,0.8270440251572327,20,-1,-1,-1,0
 APH,RF,20,20,0,10,0.8202959830866807,30,-1,-1,-1,7
 APH,RF,20,20,0,11,0.8347547974413646,40,-1,-1,-1,40
 APH,RF,30,50,0,11,0.832258064516129,50,-1,-1,-1,41
 APH,RF,40,50,0,10,0.8524945770065075,60,-1,-1,-1,27
 APH,RF,40,20,0,10,0.8599562363238512,70,-1,-1,-1,28
 APH,RF,40,40,0,10,0.8587196467991169,80,-1,-1,-1,48
 APH,RF,50,40,0,11,0.8619153674832962,90,-1,-1,-1,69
 APH,RF,40,40,0,10,0.8561797752808988,100,-1,-1,-1,66
 
