Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 CWEN,SVM,-1,-1,poly,18,0.6238532110091743,90,10,2,-1,58
 CWEN,SVM,-1,-1,poly,21,0.7029702970297029,100,100,3,-1,52
 ABR,SVM,-1,-1,rbf,16,0.7086183310533516,10,100,1,-1,6
 ABR,SVM,-1,-1,poly,16,0.623789764868603,20,100,4,-1,6
 ABR,SVM,-1,-1,poly,16,0.6559440559440559,30,100,4,-1,7
 ABR,SVM,-1,-1,poly,17,0.7256011315417256,40,100,4,-1,38
 ABR,SVM,-1,-1,poly,10,0.709585121602289,50,100,4,-1,34
 ABR,SVM,-1,-1,poly,15,0.678726483357453,60,100,4,-1,27
 ABR,SVM,-1,-1,poly,15,0.6881405563689604,70,100,4,-1,45
 ABR,SVM,-1,-1,poly,15,0.6844444444444444,80,100,4,-1,60
 ABR,SVM,-1,-1,poly,18,0.664167916041979,90,100,4,-1,89
 ABR,SVM,-1,-1,poly,10,0.6388467374810318,100,10,4,-1,61
 INXN,SVM,-1,-1,poly,12,0.6503856041131105,10,100,4,-1,6
 INXN,SVM,-1,-1,poly,12,0.7007874015748031,20,100,4,-1,9
 INXN,SVM,-1,-1,poly,17,0.7184986595174263,30,100,4,-1,27
 INXN,SVM,-1,-1,rbf,13,0.726027397260274,40,100,1,-1,36
 INXN,SVM,-1,-1,poly,10,0.7198879551820728,50,100,4,-1,2
 INXN,SVM,-1,-1,rbf,10,0.7363896848137536,60,100,1,-1,39
 INXN,SVM,-1,-1,poly,14,0.7126099706744868,70,100,4,-1,44
 INXN,SVM,-1,-1,poly,17,0.7267267267267268,80,100,4,-1,65
 INXN,SVM,-1,-1,poly,16,0.6707692307692308,90,100,4,-1,43
 INXN,SVM,-1,-1,poly,16,0.6750788643533123,100,100,2,-1,48
 APH,SVM,-1,-1,poly,10,0.659043659043659,10,100,4,-1,5
 APH,SVM,-1,-1,poly,13,0.6415094339622641,20,100,4,-1,2
 APH,SVM,-1,-1,poly,17,0.6596194503171248,30,100,4,-1,5
 APH,SVM,-1,-1,poly,13,0.7366737739872068,40,100,4,-1,40
 APH,SVM,-1,-1,poly,12,0.6440860215053763,50,100,4,-1,42
 APH,SVM,-1,-1,poly,12,0.6876355748373102,60,100,4,-1,28
 APH,SVM,-1,-1,poly,16,0.650984682713348,70,100,4,-1,14
 APH,SVM,-1,-1,poly,13,0.6799116997792495,80,100,4,-1,30
 APH,SVM,-1,-1,poly,16,0.643652561247216,90,100,3,-1,37
 APH,SVM,-1,-1,poly,15,0.6438202247191012,100,100,4,-1,30
 
