Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,Our_test_score
 JCO,RF,10,30,0,20,0.8615384615384616,70,-1,14
 JCO,RF,10,40,0,28,0.8360655737704918,80,-1,48
 JCO,RF,40,40,0,15,0.8596491228070176,90,-1,60
 JCO,RF,10,10,0,20,0.8490566037735849,100,-1,58
 JCAP,RF,10,10,0,10,0.7978723404255319,10,-1,10
 JCAP,RF,10,20,0,10,0.7944444444444444,20,-1,20
 JCAP,RF,10,10,0,10,0.8604651162790697,30,-1,23
 JCAP,RF,20,40,0,25,0.8780487804878049,40,-1,1
 JCAP,RF,10,10,0,10,0.8525641025641025,50,-1,29
 JCAP,RF,10,10,0,10,0.8918918918918919,60,-1,41
 JCAP,RF,50,10,0,25,0.9071428571428571,70,-1,66
 JCAP,RF,20,20,0,20,0.8863636363636364,80,-1,67
 JCAP,RF,10,50,0,15,0.8467741935483871,90,-1,71
 JCAP,RF,10,10,0,25,0.8620689655172413,100,-1,84
 PGP,RF,10,10,0,10,0.8155197657393851,10,-1,3
 PGP,RF,10,10,0,10,0.8414814814814815,20,-1,10
 PGP,RF,10,10,0,10,0.8185907046476761,30,-1,11
 PGP,RF,10,20,0,10,0.8558421851289834,40,-1,31
 PGP,RF,10,50,0,25,0.8571428571428571,50,-1,19
 PGP,RF,20,50,0,10,0.8911353032659409,60,-1,46
 PGP,RF,10,50,0,10,0.8818897637795275,70,-1,51
 PGP,RF,20,50,0,10,0.8835725677830941,80,-1,54
 PGP,RF,10,10,0,10,0.8562197092084006,90,-1,48
 PGP,RF,50,50,0,10,0.9034369885433715,100,-1,82
 HUN,RF,20,30,0,25,0.7478510028653295,10,-1,8
 HUN,RF,50,20,0,10,0.8333333333333334,20,-1,17
 HUN,RF,10,40,0,25,0.8049853372434017,30,-1,24
 HUN,RF,50,30,0,15,0.8486646884272997,40,-1,34
 HUN,RF,40,40,0,20,0.8528528528528528,50,-1,45
 HUN,RF,10,30,0,15,0.8525835866261399,60,-1,41
 HUN,RF,10,50,0,25,0.8723076923076923,70,-1,24
 HUN,RF,20,40,0,10,0.8660436137071651,80,-1,51
 HUN,RF,10,40,0,10,0.8738170347003155,90,-1,65
 HUN,RF,10,40,0,20,0.8258785942492013,100,-1,67
 RRTS,RF,20,10,0,28,0.652073732718894,10,-1,8
 RRTS,RF,10,50,0,25,0.7676056338028169,20,-1,11
 RRTS,RF,10,40,0,10,0.7966507177033493,30,-1,20
 RRTS,RF,20,10,0,15,0.7780487804878049,40,-1,20
 RRTS,RF,10,10,0,20,0.7885572139303483,50,-1,32
 RRTS,RF,10,20,0,28,0.8147208121827412,60,-1,39
 RRTS,RF,10,40,0,20,0.7927461139896373,70,-1,54
 RRTS,RF,10,30,0,15,0.8201058201058201,80,-1,65
 RRTS,RF,30,40,0,15,0.827027027027027,90,-1,59
