Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,No_of_neighbors,Our_test_score
 FRAC,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 FRAC,ZR,0,0,0,0,7.111111111111111,10,-1,-1,3
 FRAC,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 FRAC,ZR,0,0,0,0,14.333333333333334,20,-1,-1,11
 FRAC,KNN,0,0,-1,-1,-1,30,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
 FRAC,ZR,0,0,0,0,17.5,30,-1,-1,5
 FRAC,KNN,0,0,-1,-1,-1,40,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,40,-1,-1,-1
 FRAC,ZR,0,0,0,0,19.0,40,-1,-1,18
 FRAC,KNN,0,0,-1,-1,-1,50,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,50,-1,-1,-1
 FRAC,ZR,0,0,0,0,-1,50,-1,-1,21
 FRAC,KNN,0,0,-1,-1,-1,60,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,60,-1,-1,-1
 FRAC,ZR,0,0,0,0,-1,60,-1,-1,47
 FRAC,KNN,0,0,-1,-1,-1,70,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,70,-1,-1,-1
 FRAC,ZR,0,0,0,0,-1,70,-1,-1,-1
 FRAC,KNN,0,0,-1,-1,-1,80,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,80,-1,-1,-1
 FRAC,ZR,0,0,0,0,-1,80,-1,-1,-1
 FRAC,KNN,0,0,-1,-1,-1,90,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,90,-1,-1,-1
 FRAC,ZR,0,0,0,0,-1,90,-1,-1,-1
 FRAC,KNN,0,0,-1,-1,-1,100,-1,-1,-1
 FRAC,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 FRAC,SVM,0,0,Linear,-1,-1,100,-1,-1,-1
 FRAC,ZR,0,0,0,0,-1,100,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,10,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,10,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,10,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,20,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,20,-1,-1,-1
 SWP,ZR,0,0,0,0,-1,20,-1,-1,-1
 SWP,KNN,0,0,-1,-1,-1,30,-1,-1,-1
 SWP,RF,-1,-1,0,-1,-1,-1,-1,-1,-1
 SWP,SVM,0,0,Linear,-1,-1,30,-1,-1,-1
