Stock,Algorithm,Estimators,Depth,Distance_function,No_of_features,Model_Score,Future_day,C,degree,No_of_neighbors,Our_test_score
 INXN,SVM,-1,-1,poly,-1,0.6084507042253521,70,5,-1,-1,41
 INXN,KNN,-1,-1,canberra,11,0.5887323943661972,70,-1,-1,5,48
 INXN,ZR,-1,-1,0,0,0.5887323943661972,70,-1,-1,-1,41
 INXN,RF,20,10,0,-1,0.5446685878962536,80,-1,-1,-1,59
 INXN,SVM,-1,-1,poly,-1,0.579250720461095,80,100,-1,-1,56
 INXN,KNN,-1,-1,manhattan,11,0.547550432276657,80,-1,-1,11,57
 INXN,ZR,-1,-1,0,0,0.5763688760806917,80,-1,-1,-1,55
 INXN,RF,10,40,0,-1,0.5250737463126843,90,-1,-1,-1,55
 INXN,SVM,-1,-1,poly,-1,0.5634218289085545,90,100,-1,-1,54
 INXN,KNN,-1,-1,chebyshev,11,0.5427728613569321,90,-1,-1,11,53
 INXN,ZR,-1,-1,0,0,0.5693215339233039,90,-1,-1,-1,52
 INXN,RF,10,30,0,-1,0.5287009063444109,100,-1,-1,-1,60
 INXN,SVM,-1,-1,linear,-1,0.5830815709969789,100,0.5,-1,-1,59
 INXN,KNN,-1,-1,chebyshev,11,0.5649546827794562,100,-1,-1,3,58
 INXN,ZR,-1,-1,0,0,0.5830815709969789,100,-1,-1,-1,59
 HUN,RF,20,50,0,-1,0.5120910384068279,10,-1,-1,-1,7
 HUN,SVM,-1,-1,linear,-1,0.4950213371266003,10,100,-1,-1,8
 HUN,KNN,-1,-1,braycurtis,11,0.4594594594594595,10,-1,-1,11,8
 HUN,ZR,-1,-1,0,0,0.42105263157894735,10,-1,-1,-1,1
 HUN,RF,10,20,0,-1,0.5251798561151079,20,-1,-1,-1,15
 HUN,SVM,-1,-1,poly,-1,0.43884892086330934,20,1,-1,-1,17
 HUN,KNN,-1,-1,hamming,11,0.516546762589928,20,-1,-1,7,14
 HUN,ZR,-1,-1,0,0,0.4273381294964029,20,-1,-1,-1,15
 HUN,RF,10,40,0,-1,0.5312954876273653,30,-1,-1,-1,14
 HUN,SVM,-1,-1,poly,-1,0.5560407569141194,30,5,-1,-1,25
